t,ax,ay,az,gx,gy,gz,mx,my,mz,label
711607.0,-1.09,-0.76,9.69,0.03,-0.0,0.04,-28.78,37.93,-34.93,N
711620.0,-0.98,-0.73,9.62,0.06,0.0,0.0,-29.98,37.48,-34.48,N
711633.0,-0.88,-0.75,9.67,0.01,0.02,0.0,-29.23,36.73,-34.93,N
711646.0,-0.92,-0.8,9.6,-0.03,-0.01,-0.03,-29.98,37.18,-34.93,N
711659.0,-0.97,-0.72,9.59,-0.0,0.02,-0.03,-29.38,36.58,-34.78,N
711672.0,-0.95,-0.74,9.66,0.0,-0.0,0.01,-29.98,36.73,-34.93,N
711685.0,-0.96,-0.77,9.67,0.03,-0.02,0.05,-29.98,36.73,-34.93,N
711698.0,-0.96,-0.77,9.6,0.03,-0.0,0.03,-28.78,36.73,-35.68,N
711711.0,-0.97,-0.66,9.63,0.01,0.03,-0.0,-29.23,36.73,-34.48,N
711724.0,-0.97,-0.63,9.6,-0.0,0.01,-0.01,-29.23,36.73,-34.48,N
711737.0,-1.04,-0.62,9.71,-0.02,0.02,-0.01,-26.53,37.78,-33.13,N
711750.0,-0.98,-0.7,9.73,0.01,-0.02,-0.01,-28.63,37.33,-36.28,N
711763.0,-0.95,-0.73,9.68,0.08,-0.04,-0.04,-29.23,35.98,-33.43,N
711776.0,-1.02,-0.72,9.72,0.04,-0.0,-0.05,-29.23,35.98,-33.43,N
711789.0,-0.95,-0.72,9.71,0.01,0.01,-0.02,-28.78,37.48,-34.93,N
711802.0,-0.97,-0.72,9.68,0.06,-0.03,0.01,-28.78,38.23,-35.23,N
711815.0,-0.98,-0.69,9.71,0.05,-0.05,-0.03,-28.78,38.23,-35.23,N
711828.0,-1.0,-0.7,9.63,0.02,-0.02,-0.01,-27.58,36.43,-34.93,N
711841.0,-1.01,-0.72,9.73,-0.01,0.01,-0.04,-28.48,37.18,-34.93,N
711854.0,-1.03,-0.75,9.66,-0.04,0.02,0.0,-30.43,37.18,-36.13,N
711867.0,-1.05,-0.76,9.66,0.0,0.0,-0.03,-29.38,36.13,-35.53,N
711880.0,-1.04,-0.76,9.69,0.0,0.0,0.03,-28.63,37.03,-36.28,N
711893.0,-1.02,-0.74,9.67,0.03,-0.04,0.04,-29.38,37.78,-35.53,N
711906.0,-1.02,-0.82,9.67,0.04,-0.01,0.05,-29.68,37.78,-35.53,N
711919.0,-1.07,-0.72,9.72,0.01,0.0,0.01,-27.58,37.18,-34.48,N
711932.0,-1.07,-0.78,9.65,-0.01,-0.01,0.04,-28.78,36.43,-35.68,N
711945.0,-1.06,-0.79,9.69,0.04,0.0,-0.02,-28.78,36.43,-35.68,N
711958.0,-1.07,-0.77,9.72,-0.0,-0.01,0.01,-29.08,36.58,-35.83,N
711971.0,-1.06,-0.75,9.75,0.01,0.04,-0.01,-28.78,36.43,-34.18,N
711984.0,-1.04,-0.73,9.74,0.02,0.06,-0.01,-29.08,39.28,-36.28,N
711997.0,-1.08,-0.73,9.74,-0.01,0.05,-0.01,-30.88,36.73,-34.18,N
712010.0,-1.03,-0.7,9.79,0.03,0.02,0.04,-27.73,37.03,-34.78,N
712023.0,-1.05,-0.68,9.81,0.03,0.01,0.0,-28.48,36.73,-35.23,N
712036.0,-1.02,-0.68,9.8,0.05,0.01,-0.01,-29.38,37.03,-34.33,N
712049.0,-1.0,-0.66,9.76,0.0,0.03,0.03,-29.08,36.58,-35.83,N
712062.0,-1.05,-0.59,9.74,0.03,0.06,0.02,-28.78,37.48,-33.73,N
712075.0,-0.99,-0.59,9.71,0.0,0.02,-0.02,-29.38,37.78,-36.28,N
712088.0,-1.09,-0.52,9.64,0.03,0.01,0.03,-28.78,38.68,-35.23,N
712101.0,-1.1,-0.54,9.65,-0.03,0.08,0.04,-29.68,37.48,-34.48,N
712114.0,-1.13,-0.64,9.67,0.0,0.05,-0.01,-27.73,37.78,-35.53,N
712126.0,-1.13,-0.66,9.7,-0.02,0.07,-0.03,-29.08,36.13,-35.08,N
712140.0,-1.06,-0.74,9.67,0.05,0.0,-0.02,-29.08,37.33,-34.33,N
712153.0,-1.11,-0.67,9.72,0.04,0.04,0.03,-28.18,37.78,-35.53,N
712166.0,-1.03,-0.71,9.68,0.03,0.02,0.05,-26.83,37.18,-35.23,N
712179.0,-1.04,-0.68,9.71,-0.01,0.02,0.01,-27.58,37.93,-34.93,N
712192.0,-1.05,-0.66,9.65,-0.04,0.05,-0.02,-29.08,37.78,-33.88,N
712205.0,-1.07,-0.66,9.74,0.02,0.05,0.0,-29.08,37.78,-33.88,N
712218.0,-1.08,-0.69,9.65,0.07,0.01,0.04,-29.38,37.33,-35.53,N
712231.0,-1.07,-0.73,9.71,0.04,0.02,0.05,-28.63,38.08,-35.83,N
712244.0,-1.03,-0.71,9.68,0.02,-0.02,0.03,-28.63,38.08,-35.83,N
712257.0,-1.01,-0.75,9.67,-0.03,0.05,-0.01,-29.08,37.33,-34.78,N
712270.0,-0.99,-0.67,9.65,0.02,0.01,0.02,-29.68,37.48,-34.93,N
712283.0,-0.99,-0.59,9.57,0.05,-0.01,0.04,-29.08,37.78,-34.78,N
712296.0,-0.93,-0.61,9.59,-0.06,0.05,0.02,-29.08,37.78,-34.78,N
712309.0,-0.97,-0.61,9.57,-0.02,0.05,0.01,-27.58,37.18,-34.48,N
712322.0,-1.02,-0.53,9.57,-0.06,0.03,0.05,-28.63,38.08,-34.33,N
712334.0,-1.05,-0.56,9.55,-0.02,0.03,0.04,-28.63,38.08,-34.33,N
712348.0,-1.04,-0.46,9.63,0.01,-0.01,0.05,-29.08,37.33,-34.33,N
712361.0,-1.13,-0.48,9.57,0.01,-0.04,0.02,-29.68,38.23,-34.93,N
712374.0,-1.12,-0.48,9.53,0.03,0.0,0.04,-29.23,37.18,-35.68,N
712387.0,-1.18,-0.51,9.58,-0.01,0.04,-0.01,-27.73,37.03,-35.08,N
712400.0,-1.26,-0.63,9.6,-0.06,0.05,-0.02,-29.23,36.73,-35.68,N
712413.0,-1.33,-0.62,9.64,-0.02,0.0,-0.07,-29.68,37.18,-34.93,N
712426.0,-1.36,-0.61,9.63,-0.05,0.0,-0.04,-29.08,36.13,-34.93,N
712439.0,-1.24,-0.68,9.67,-0.05,0.03,-0.03,-28.48,39.13,-35.68,N
712452.0,-1.26,-0.75,9.65,-0.04,0.0,0.01,-28.03,36.73,-35.68,N
712465.0,-1.25,-0.82,9.69,0.03,-0.01,-0.0,-28.03,36.73,-35.68,N
712478.0,-1.21,-0.78,9.72,0.02,-0.02,0.01,-28.03,36.43,-35.68,N
712491.0,-1.21,-0.81,9.8,0.01,-0.05,0.01,-29.98,35.68,-35.23,N
712504.0,-1.21,-0.9,9.76,0.01,-0.01,0.0,-29.68,37.18,-35.23,N
712517.0,-1.17,-0.84,9.77,-0.03,0.03,-0.0,-28.63,37.33,-34.78,N
712530.0,-1.12,-0.87,9.82,-0.02,0.04,0.03,-28.78,36.43,-36.88,N
712542.0,-1.06,-0.79,9.74,0.0,0.02,0.03,-27.43,36.13,-35.53,N
712556.0,-1.1,-0.81,9.75,0.0,-0.02,0.05,-28.63,37.78,-35.83,N
712569.0,-1.09,-0.7,9.69,0.06,0.03,0.03,-27.73,37.78,-34.33,N
712582.0,-1.18,-0.61,9.68,0.03,0.05,-0.0,-29.38,37.03,-34.33,N
712595.0,-1.14,-0.64,9.63,-0.03,-0.02,0.03,-28.18,38.53,-34.78,N
712608.0,-1.19,-0.59,9.61,-0.0,0.01,0.02,-27.73,36.58,-35.83,N
712621.0,-1.15,-0.66,9.63,0.03,0.03,-0.04,-27.73,37.33,-35.83,N
712634.0,-1.18,-0.62,9.65,0.02,0.04,-0.02,-28.78,37.48,-36.88,N
712647.0,-1.12,-0.61,9.59,-0.05,0.01,0.02,-28.63,37.33,-35.53,N
712660.0,-1.18,-0.61,9.6,0.0,0.06,-0.03,-28.18,36.58,-34.78,N
712673.0,-1.14,-0.61,9.63,0.03,-0.06,-0.04,-27.58,37.48,-33.73,N
712686.0,-1.15,-0.59,9.67,0.03,-0.06,0.01,-27.73,36.58,-34.33,N
712699.0,-1.15,-0.62,9.58,0.03,-0.02,-0.01,-28.03,36.43,-36.13,N
712712.0,-1.17,-0.68,9.6,-0.03,0.03,-0.01,-29.08,37.78,-36.28,N
712725.0,-1.21,-0.68,9.62,-0.0,-0.0,-0.01,-29.08,37.78,-36.28,N
712738.0,-1.15,-0.64,9.59,-0.02,-0.01,-0.03,-28.78,36.73,-34.93,N
712750.0,-1.12,-0.72,9.62,0.02,-0.04,-0.01,-28.63,38.08,-34.33,N
712764.0,-1.16,-0.69,9.6,-0.02,0.0,-0.01,-28.63,38.08,-34.33,N
712777.0,-1.16,-0.69,9.64,-0.02,-0.01,-0.05,-28.48,36.73,-35.23,N
712790.0,-1.21,-0.73,9.63,-0.01,0.02,-0.05,-29.08,36.13,-35.08,N
712803.0,-1.16,-0.69,9.64,0.0,-0.05,0.02,-29.83,37.03,-34.33,N
712816.0,-1.18,-0.69,9.65,-0.0,-0.04,0.03,-29.83,37.03,-34.33,N
712829.0,-1.22,-0.75,9.73,0.01,-0.05,0.05,-28.78,37.03,-34.78,N
712842.0,-1.22,-0.71,9.71,0.04,-0.01,-0.05,-27.73,39.57,-34.33,N
712855.0,-1.21,-0.63,9.76,-0.01,-0.02,0.01,-27.73,39.57,-34.33,N
712868.0,-1.22,-0.7,9.74,-0.01,-0.01,0.01,-28.78,36.73,-34.93,N
712881.0,-1.17,-0.7,9.81,0.03,-0.04,0.05,-27.73,37.03,-34.78,N
712894.0,-1.15,-0.73,9.77,0.02,-0.02,0.0,-28.03,37.93,-35.68,N
712907.0,-1.13,-0.65,9.75,0.05,-0.03,0.02,-28.03,37.93,-35.68,N
712920.0,-1.07,-0.71,9.74,-0.03,0.05,0.0,-28.63,37.33,-35.08,N
712933.0,-1.13,-0.66,9.66,0.03,0.01,0.03,-27.58,36.43,-35.68,N
712946.0,-1.1,-0.67,9.7,0.03,-0.01,0.01,-27.58,36.43,-35.68,N
712958.0,-1.13,-0.66,9.66,0.07,-0.03,0.06,-28.78,36.43,-35.23,N
712972.0,-1.1,-0.64,9.66,-0.03,0.03,-0.03,-27.43,37.78,-34.33,N
712985.0,-1.1,-0.58,9.66,0.02,0.01,0.04,-27.43,37.78,-34.33,N
712998.0,-1.15,-0.64,9.62,-0.01,-0.01,-0.01,-27.73,35.83,-35.53,N
713011.0,-1.08,-0.6,9.59,0.05,-0.01,0.02,-28.48,36.43,-35.23,N
713024.0,-1.15,-0.62,9.68,0.02,0.01,0.02,-29.08,38.08,-35.53,N
713037.0,-1.06,-0.62,9.63,0.02,-0.01,0.07,-29.83,35.38,-33.88,N
713050.0,-1.12,-0.7,9.61,-0.02,-0.01,0.03,-28.03,36.73,-34.93,N
713063.0,-1.17,-0.69,9.62,-0.0,0.02,-0.03,-28.63,37.33,-35.08,N
713076.0,-1.19,-0.7,9.65,0.02,0.0,-0.01,-26.53,36.13,-34.33,N
713089.0,-1.14,-0.71,9.67,-0.01,0.02,0.03,-30.28,37.78,-35.53,N
713102.0,-1.15,-0.68,9.67,-0.0,-0.01,0.0,-28.18,37.33,-35.83,N
713115.0,-1.12,-0.66,9.66,-0.0,0.01,0.01,-28.48,37.48,-34.93,N
713128.0,-1.13,-0.69,9.67,0.02,-0.01,0.02,-28.78,36.43,-34.48,N
713141.0,-1.19,-0.68,9.69,-0.01,-0.04,-0.01,-28.18,37.33,-36.28,N
713154.0,-1.22,-0.69,9.7,0.04,-0.01,-0.02,-27.43,38.08,-34.33,N
713166.0,-1.09,-0.63,9.7,0.01,-0.03,-0.03,-28.63,37.78,-35.83,N
713180.0,-1.11,-0.66,9.63,0.01,0.02,0.03,-28.63,37.03,-35.08,N
713193.0,-1.16,-0.66,9.66,0.03,0.05,-0.03,-28.78,37.18,-34.48,N
713206.0,-1.16,-0.65,9.63,-0.0,0.01,-0.03,-29.23,37.18,-34.93,N
713219.0,-1.16,-0.68,9.59,0.02,-0.02,0.03,-31.93,37.33,-35.08,N
713232.0,-1.16,-0.6,9.6,0.02,-0.04,0.03,-29.23,36.43,-34.48,N
713245.0,-1.05,-0.6,9.63,-0.01,-0.02,0.02,-29.23,36.43,-34.48,N
713258.0,-1.17,-0.66,9.63,0.01,0.0,-0.01,-29.23,37.93,-35.23,N
713271.0,-1.15,-0.63,9.66,0.01,-0.03,0.02,-29.08,37.03,-34.78,N
713284.0,-1.14,-0.67,9.71,0.01,-0.04,0.02,-29.08,37.03,-34.78,N
713297.0,-1.15,-0.73,9.68,-0.03,-0.01,-0.02,-29.08,37.33,-34.33,N
713310.0,-1.11,-0.69,9.62,-0.03,-0.03,0.01,-29.08,37.78,-33.88,N
713323.0,-1.14,-0.64,9.64,0.0,0.03,-0.02,-28.48,37.18,-35.23,N
713336.0,-1.11,-0.63,9.64,0.04,-0.02,0.07,-28.48,37.18,-35.23,N
713349.0,-1.13,-0.68,9.66,-0.0,-0.03,0.06,-28.48,36.58,-35.08,N
713362.0,-1.17,-0.75,9.62,0.03,-0.04,0.04,-28.03,36.73,-34.93,N
713375.0,-1.17,-0.62,9.67,0.04,0.0,0.06,-28.03,36.73,-34.93,N
713388.0,-1.16,-0.67,9.68,-0.02,0.0,-0.02,-27.58,37.93,-35.68,N
713401.0,-1.11,-0.63,9.7,0.0,0.02,-0.04,-28.63,36.58,-34.78,N
713414.0,-1.12,-0.62,9.71,-0.0,-0.01,-0.02,-29.38,35.83,-35.08,N
713427.0,-1.2,-0.65,9.7,-0.02,0.03,-0.07,-28.48,35.68,-34.48,N
713440.0,-1.15,-0.61,9.65,-0.01,-0.01,0.02,-28.63,35.83,-34.33,N
713453.0,-1.2,-0.6,9.63,-0.02,0.05,0.02,-29.23,37.93,-35.68,N
713466.0,-1.17,-0.64,9.69,0.0,-0.03,-0.01,-29.23,37.93,-35.68,N
713479.0,-1.13,-0.65,9.74,0.01,0.0,0.04,-28.78,35.98,-35.23,N
713492.0,-1.15,-0.7,9.77,0.02,0.0,-0.0,-28.78,37.18,-36.13,N
713505.0,-1.15,-0.68,9.75,-0.01,0.03,-0.02,-28.78,37.18,-36.13,N
713518.0,-1.11,-0.68,9.75,0.01,0.04,0.01,-29.38,37.33,-35.08,N
713531.0,-1.13,-0.68,9.76,-0.0,0.01,-0.01,-29.38,37.78,-35.83,N
713544.0,-1.06,-0.65,9.75,0.03,0.0,-0.02,-29.83,38.53,-34.78,N
713557.0,-1.08,-0.73,9.74,0.03,-0.01,-0.02,-28.78,37.18,-35.68,N
713570.0,-1.11,-0.71,9.74,0.03,-0.02,0.04,-29.38,36.13,-34.78,N
713583.0,-1.09,-0.64,9.7,-0.02,0.01,-0.04,-27.73,36.58,-34.33,N
713596.0,-1.11,-0.62,9.68,0.05,-0.03,0.05,-28.78,37.48,-35.23,N
713609.0,-1.13,-0.6,9.6,0.02,-0.03,0.03,-29.83,35.83,-37.48,N
713622.0,-1.06,-0.62,9.68,0.01,-0.03,0.04,-29.23,35.68,-34.18,N
713635.0,-1.09,-0.57,9.63,0.0,0.01,-0.02,-27.73,36.58,-36.28,N
713648.0,-1.15,-0.6,9.57,0.0,0.06,-0.03,-28.78,37.48,-35.23,N
713661.0,-1.09,-0.67,9.6,-0.06,-0.03,-0.03,-28.63,37.03,-35.08,N
713674.0,-1.17,-0.65,9.63,0.04,-0.05,0.03,-28.63,38.08,-34.78,N
713687.0,-1.13,-0.58,9.69,0.02,-0.01,-0.01,-28.18,37.03,-34.33,N
713700.0,-1.13,-0.64,9.56,0.05,0.01,-0.01,-29.38,35.83,-36.28,N
713713.0,-1.12,-0.67,9.64,-0.04,0.04,-0.01,-28.03,36.43,-35.23,N
713726.0,-1.18,-0.69,9.63,-0.03,0.0,0.01,-28.18,36.13,-35.83,N
713739.0,-1.17,-0.66,9.63,0.05,0.01,-0.01,-28.18,37.33,-35.53,N
713751.0,-1.12,-0.69,9.68,0.05,-0.04,0.04,-27.73,37.03,-35.53,N
