t,ax,ay,az,gx,gy,gz,mx,my,mz,label
835991.0,0.3,0.34,9.66,0.02,-0.02,-0.05,-33.28,31.78,-34.48,U
836004.0,0.37,0.35,9.66,-0.01,0.04,-0.03,-35.83,33.73,-33.73,U
836017.0,0.32,0.33,9.68,-0.01,0.02,-0.01,-34.33,32.83,-35.08,U
836030.0,0.32,0.32,9.61,-0.02,0.0,-0.04,-35.23,31.93,-33.88,U
836042.0,0.34,0.32,9.61,0.0,-0.01,-0.03,-33.73,31.48,-32.53,U
836056.0,0.35,0.29,9.63,0.02,-0.05,0.03,-35.53,33.88,-34.78,U
836069.0,0.27,0.35,9.68,0.02,-0.06,0.03,-34.93,31.48,-33.73,U
836082.0,0.29,0.29,9.7,-0.01,-0.03,0.01,-34.93,31.48,-33.73,U
836095.0,0.26,0.26,9.76,-0.01,0.0,0.01,-33.28,30.73,-36.13,U
836108.0,0.34,0.35,9.78,0.02,-0.06,0.05,-34.18,31.48,-34.48,U
836121.0,0.31,0.35,9.84,0.03,-0.06,0.04,-34.18,31.48,-34.48,U
836134.0,0.35,0.37,9.83,-0.01,-0.01,-0.01,-35.98,30.88,-33.58,U
836147.0,0.28,0.34,9.81,-0.02,-0.03,0.0,-34.78,33.13,-35.08,U
836160.0,0.35,0.31,9.8,0.01,0.01,-0.04,-35.98,31.18,-33.88,U
836173.0,0.3,0.31,9.83,0.04,-0.01,0.03,-33.13,31.18,-33.88,U
836186.0,0.34,0.33,9.74,0.02,-0.04,-0.02,-33.88,32.38,-35.08,U
836199.0,0.33,0.34,9.83,-0.01,-0.01,0.05,-34.93,32.53,-32.98,U
836212.0,0.31,0.36,9.77,-0.0,0.02,0.02,-34.78,31.63,-33.88,U
836225.0,0.29,0.34,9.77,-0.01,0.03,0.0,-35.83,32.53,-33.73,U
836238.0,0.31,0.37,9.68,-0.03,0.03,0.02,-33.73,31.48,-34.18,U
836250.0,0.28,0.43,9.68,-0.01,0.03,-0.02,-34.33,31.93,-33.13,U
836264.0,0.3,0.38,9.67,0.02,-0.04,0.05,-35.98,31.18,-33.88,U
836277.0,0.34,0.43,9.72,-0.03,0.0,0.01,-35.38,31.78,-34.18,U
836290.0,0.36,0.36,9.65,0.0,0.0,0.0,-35.38,32.98,-36.88,U
836303.0,0.33,0.34,9.71,0.03,-0.03,-0.01,-34.78,32.83,-33.58,U
836316.0,0.33,0.39,9.69,0.04,-0.02,0.01,-35.23,31.18,-33.58,U
836329.0,0.35,0.34,9.71,0.01,-0.0,-0.01,-33.88,33.13,-34.33,U
836342.0,0.36,0.38,9.77,-0.02,0.02,0.0,-34.93,32.98,-34.93,U
836355.0,0.39,0.3,9.69,-0.04,0.02,-0.06,-34.93,32.53,-34.93,U
836368.0,0.34,0.28,9.74,0.0,-0.01,0.04,-36.43,31.63,-33.88,U
836381.0,0.29,0.39,9.71,0.06,-0.04,-0.01,-36.43,31.63,-33.88,U
836394.0,0.26,0.44,9.67,0.01,-0.01,0.03,-34.63,31.03,-34.18,U
836407.0,0.28,0.47,9.73,0.04,-0.01,0.02,-36.13,32.53,-34.48,U
836420.0,0.3,0.35,9.75,0.0,0.02,0.04,-36.13,32.53,-34.48,U
836433.0,0.32,0.37,9.77,0.0,-0.01,-0.03,-35.38,33.73,-34.93,U
836446.0,0.32,0.38,9.74,0.03,-0.06,0.04,-34.78,31.93,-33.88,U
836458.0,0.32,0.44,9.76,0.04,-0.01,0.04,-35.38,31.48,-34.93,U
836472.0,0.34,0.45,9.78,-0.05,0.02,-0.01,-35.38,31.48,-34.93,U
836485.0,0.33,0.4,9.75,-0.03,0.01,-0.04,-34.18,31.48,-34.48,U
836498.0,0.3,0.34,9.78,0.02,0.02,-0.03,-35.23,32.38,-33.58,U
836511.0,0.34,0.31,9.75,0.04,0.02,-0.02,-35.23,32.38,-33.58,U
836524.0,0.32,0.38,9.79,0.04,-0.0,0.02,-34.63,31.03,-34.48,U
836537.0,0.26,0.44,9.74,0.03,-0.02,0.03,-34.78,31.63,-35.08,U
836550.0,0.28,0.45,9.74,-0.02,0.06,0.03,-36.58,32.23,-35.68,U
836563.0,0.31,0.41,9.74,0.01,0.01,-0.07,-32.98,32.53,-34.48,U
836576.0,0.31,0.43,9.72,-0.01,0.03,-0.04,-34.33,31.93,-34.78,U
836589.0,0.34,0.45,9.7,0.04,-0.04,-0.01,-35.83,32.23,-33.73,U
836602.0,0.41,0.41,9.75,0.0,0.02,0.01,-35.83,32.23,-33.73,U
836615.0,0.38,0.45,9.73,-0.01,0.01,-0.03,-35.53,32.38,-34.33,U
836628.0,0.34,0.41,9.69,-0.01,-0.01,0.05,-34.78,30.88,-34.78,U
