t,ax,ay,az,gx,gy,gz,mx,my,mz,label
904163.0,0.21,0.6,9.69,-0.03,0.04,-0.01,-35.53,30.43,-32.83,D
904176.0,0.16,0.55,9.79,0.04,0.01,0.0,-35.98,30.43,-33.58,D
904189.0,0.2,0.54,9.76,0.08,0.02,0.03,-35.98,30.13,-33.13,D
904202.0,0.21,0.66,9.7,0.04,-0.0,0.07,-35.98,30.13,-33.13,D
904215.0,0.15,0.64,9.73,0.0,0.04,0.0,-37.48,30.73,-35.23,D
904228.0,0.22,0.6,9.81,-0.0,0.04,0.04,-35.98,28.63,-33.88,D
904241.0,0.2,0.63,9.77,-0.03,0.01,0.04,-35.38,29.08,-33.43,D
904254.0,0.27,0.62,9.73,0.05,0.01,0.09,-38.08,28.63,-35.83,D
904267.0,0.23,0.68,9.74,0.05,-0.04,0.06,-36.43,30.43,-32.83,D
904280.0,0.28,0.75,9.71,0.02,-0.0,0.07,-36.43,29.68,-33.88,D
904292.0,0.3,0.71,9.75,0.04,0.02,0.04,-36.43,29.68,-33.88,D
904306.0,0.24,0.68,9.72,0.01,0.0,0.04,-36.13,31.03,-33.73,D
904319.0,0.26,0.66,9.71,0.04,-0.02,0.05,-36.88,29.38,-35.08,D
904332.0,0.29,0.71,9.67,0.02,-0.01,0.07,-36.43,30.13,-33.88,D
904345.0,0.26,0.66,9.64,-0.02,0.07,-0.03,-34.78,30.43,-33.13,D
904358.0,0.29,0.75,9.63,-0.04,0.04,-0.02,-35.53,30.88,-33.58,D
904371.0,0.35,0.68,9.71,-0.04,0.02,0.01,-36.58,31.03,-35.68,D
904384.0,0.32,0.6,9.66,0.03,-0.0,0.05,-35.53,29.38,-34.33,D
904397.0,0.25,0.6,9.61,0.02,-0.01,0.02,-35.83,29.08,-34.93,D
904410.0,0.32,0.67,9.67,0.05,-0.01,0.01,-35.38,30.28,-34.48,D
904423.0,0.3,0.74,9.65,-0.03,0.03,-0.02,-36.43,29.38,-33.58,D
904436.0,0.27,0.74,9.55,-0.04,0.03,-0.06,-34.63,29.83,-33.73,D
904449.0,0.23,0.69,9.6,-0.05,0.02,0.01,-35.98,28.93,-33.88,D
904462.0,0.23,0.68,9.65,-0.0,-0.03,0.02,-37.63,30.43,-32.38,D
904475.0,0.27,0.48,9.67,-0.0,0.05,-0.04,-35.38,30.73,-33.73,D
904488.0,0.2,0.58,9.65,-0.04,-0.0,0.02,-35.23,30.88,-34.78,D
904500.0,0.22,0.67,9.65,0.01,0.01,-0.0,-35.98,30.13,-33.58,D
904514.0,0.28,0.64,9.69,0.02,-0.03,0.07,-34.93,31.03,-34.93,D
904527.0,0.26,0.69,9.74,0.01,-0.03,0.07,-35.53,31.18,-34.78,D
904540.0,0.22,0.67,9.8,0.02,-0.01,0.02,-36.58,29.83,-34.93,D
904553.0,0.22,0.62,9.82,0.02,0.03,-0.0,-36.58,29.83,-34.93,D
904566.0,0.23,0.61,9.8,0.01,0.01,-0.01,-34.93,29.83,-33.73,D
904579.0,0.25,0.72,9.79,0.01,-0.01,-0.02,-36.58,30.28,-34.18,D
904592.0,0.26,0.74,9.8,0.04,0.0,0.01,-36.58,30.28,-34.18,D
904605.0,0.29,0.75,9.76,0.01,-0.05,0.0,-35.53,29.68,-33.13,D
904618.0,0.24,0.69,9.77,0.09,-0.0,0.01,-34.93,30.73,-34.48,D
904631.0,0.23,0.7,9.69,0.07,-0.05,0.0,-37.18,28.63,-34.33,D
904644.0,0.21,0.71,9.71,0.04,-0.04,0.04,-37.18,28.63,-34.33,D
904657.0,0.29,0.74,9.65,0.01,-0.05,0.03,-35.83,30.73,-34.93,D
904670.0,0.21,0.7,9.78,-0.03,0.04,-0.04,-36.13,30.28,-33.73,D
904683.0,0.29,0.71,9.72,-0.02,-0.02,-0.0,-36.13,30.28,-33.73,D
904696.0,0.35,0.68,9.69,0.01,0.03,-0.01,-37.48,29.53,-33.43,D
904708.0,0.28,0.72,9.64,0.02,0.01,-0.06,-36.43,30.43,-31.93,D
904722.0,0.34,0.68,9.72,-0.01,-0.03,0.0,-36.13,28.78,-35.23,D
904735.0,0.3,0.63,9.76,0.04,-0.0,-0.0,-36.58,30.73,-34.18,D
904748.0,0.34,0.54,9.79,0.05,-0.03,0.03,-36.43,30.43,-34.78,D
904761.0,0.39,0.63,9.74,0.07,0.0,0.08,-36.13,29.53,-34.18,D
904774.0,0.42,0.79,9.62,0.06,0.05,0.04,-35.83,29.83,-33.43,D
904787.0,0.33,0.86,9.58,0.08,-0.03,0.04,-35.53,31.18,-33.58,D
904800.0,0.27,0.91,9.66,-0.0,-0.04,0.02,-35.98,29.38,-33.58,D
904813.0,0.24,0.81,9.63,-0.01,0.01,0.05,-35.98,29.38,-33.58,D
904826.0,0.23,0.77,9.65,-0.06,0.02,-0.02,-35.23,30.13,-33.13,D
904839.0,0.23,0.77,9.66,0.04,-0.08,0.05,-35.83,29.53,-33.73,D
904852.0,0.23,0.82,9.69,0.08,-0.04,0.09,-35.38,30.28,-34.18,D
904865.0,0.33,0.76,9.66,0.06,-0.07,-0.01,-36.88,28.63,-33.88,D
