t,ax,ay,az,gx,gy,gz,mx,my,mz,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
964001.0,-0.48,0.3,9.76,-0.01,0.03,-0.01,-33.28,30.73,-35.68,L
964015.0,-0.51,0.24,9.91,0.02,-0.01,0.04,-33.88,30.13,-34.33,L
964028.0,-0.51,0.15,9.8,0.06,-0.0,0.03,-33.73,29.08,-35.23,L
964041.0,-0.4,0.28,9.76,0.02,-0.01,0.06,-33.28,30.28,-35.23,L
964054.0,-0.36,0.31,9.69,-0.03,0.03,-0.03,-35.98,29.38,-35.53,L
964067.0,-0.42,0.31,9.69,-0.0,0.05,0.0,-33.13,30.88,-35.83,L
964080.0,-0.44,0.27,9.58,-0.0,-0.01,0.02,-33.73,30.73,-35.23,L
964093.0,-0.44,0.24,9.55,-0.0,0.06,0.01,-35.38,29.08,-36.13,L
964106.0,-0.36,0.14,9.56,-0.0,0.04,-0.03,-33.28,29.53,-34.48,L
964119.0,-0.34,0.18,9.57,-0.0,0.03,0.02,-33.88,30.13,-36.28,L
964132.0,-0.31,0.29,9.63,0.08,0.02,0.01,-33.13,30.43,-35.53,L
964145.0,-0.3,0.28,9.6,0.03,-0.03,0.03,-32.68,30.13,-36.28,L
964158.0,-0.32,0.25,9.6,-0.01,0.0,0.03,-32.68,30.13,-36.28,L
964171.0,-0.36,0.36,9.56,0.02,0.01,0.05,-33.58,30.13,-35.83,L
964184.0,-0.34,0.35,9.61,-0.0,-0.0,-0.01,-35.23,30.88,-35.83,L
964197.0,-0.44,0.31,9.64,-0.02,0.01,-0.03,-35.23,30.88,-35.83,L
964209.0,-0.38,0.4,9.63,-0.01,-0.03,-0.01,-34.78,30.88,-36.28,L
964223.0,-0.43,0.35,9.68,0.02,-0.05,0.01,-35.53,29.68,-36.28,L
964236.0,-0.4,0.31,9.75,-0.07,-0.02,-0.08,-35.38,30.28,-34.48,L
964249.0,-0.39,0.33,9.76,-0.04,-0.04,-0.05,-32.08,30.73,-36.43,L
964262.0,-0.33,0.28,9.89,0.04,-0.03,-0.02,-32.08,31.03,-36.43,L
964275.0,-0.33,0.26,9.87,0.06,-0.05,0.0,-34.18,29.53,-35.23,L
964288.0,-0.35,0.32,9.93,0.04,-0.01,0.01,-34.18,29.53,-35.23,L
964301.0,-0.31,0.32,9.88,-0.0,0.02,-0.09,-33.28,30.73,-36.88,L
964314.0,-0.29,0.28,9.86,-0.0,0.03,-0.06,-32.68,30.13,-37.03,L
964327.0,-0.34,0.28,9.8,-0.01,0.06,0.01,-32.68,30.13,-37.03,L
964340.0,-0.42,0.32,9.74,0.01,0.04,-0.01,-33.88,30.13,-35.83,L
964353.0,-0.44,0.36,9.69,0.01,0.02,0.03,-32.08,28.33,-36.43,L
964366.0,-0.46,0.38,9.63,0.04,0.01,0.0,-32.68,29.38,-37.03,L
964379.0,-0.45,0.4,9.64,-0.03,0.06,0.05,-33.28,31.03,-35.23,L
964392.0,-0.46,0.43,9.59,-0.02,0.04,-0.05,-32.68,30.13,-35.53,L
964405.0,-0.43,0.35,9.64,0.02,-0.03,-0.02,-34.93,30.28,-36.13,L
964417.0,-0.48,0.28,9.6,-0.0,-0.02,0.01,-34.93,30.28,-36.13,L
964431.0,-0.46,0.28,9.64,-0.02,0.02,-0.05,-34.33,30.43,-36.58,L
964444.0,-0.45,0.26,9.67,-0.01,-0.03,0.0,-34.33,30.13,-35.08,L
964457.0,-0.39,0.26,9.71,-0.03,0.01,-0.04,-33.88,30.13,-35.08,L
964470.0,-0.41,0.33,9.7,0.0,-0.04,0.04,-34.63,30.73,-36.43,L
964483.0,-0.42,0.33,9.67,0.01,-0.03,-0.03,-32.38,30.13,-36.28,L
964496.0,-0.45,0.36,9.67,0.03,-0.08,0.03,-33.73,30.73,-35.68,L
964509.0,-0.53,0.46,9.77,-0.03,-0.01,0.02,-33.73,31.03,-37.18,L
964522.0,-0.56,0.45,9.65,-0.01,0.01,-0.02,-34.33,30.13,-35.53,L
964535.0,-0.47,0.34,9.7,-0.06,0.01,0.02,-34.78,29.68,-36.28,L
