t,ax,ay,az,gx,gy,gz,mx,my,mz,label
1021292.0,-0.36,0.42,9.72,0.02,-0.03,-0.02,-30.28,36.58,-34.33,R
1021306.0,-0.34,0.36,9.74,-0.02,0.02,-0.05,-31.63,37.48,-34.93,R
1021319.0,-0.26,0.35,9.8,-0.02,0.05,-0.1,-32.08,37.18,-35.68,R
1021332.0,-0.36,0.28,9.79,0.01,0.02,-0.09,-32.08,37.18,-35.68,R
1021345.0,-0.3,0.33,9.83,0.05,-0.01,-0.05,-31.48,38.08,-34.78,R
1021358.0,-0.44,0.26,9.77,0.07,-0.01,-0.05,-33.13,37.78,-33.88,R
1021371.0,-0.35,0.33,9.77,0.03,0.02,-0.05,-30.88,37.48,-35.23,R
1021384.0,-0.34,0.39,9.76,0.07,-0.01,-0.05,-32.53,37.18,-34.48,R
1021397.0,-0.4,0.35,9.78,0.09,0.05,-0.07,-31.33,36.73,-34.93,R
1021410.0,-0.42,0.27,9.78,0.02,0.02,-0.09,-33.13,38.08,-34.78,R
1021423.0,-0.41,0.31,9.72,0.07,0.02,-0.04,-32.98,37.93,-34.93,R
1021436.0,-0.36,0.38,9.8,0.01,0.03,-0.06,-31.33,37.48,-34.48,R
1021449.0,-0.37,0.29,9.78,0.02,0.02,-0.07,-32.53,37.18,-34.48,R
1021462.0,-0.37,0.31,9.84,0.09,-0.02,-0.06,-32.53,38.68,-35.68,R
1021475.0,-0.4,0.32,9.7,0.07,-0.01,-0.01,-32.68,36.58,-35.53,R
1021488.0,-0.38,0.28,9.79,0.12,0.03,-0.04,-31.48,37.03,-34.78,R
1021500.0,-0.34,0.26,9.79,0.08,0.0,-0.08,-31.93,37.78,-34.33,R
1021514.0,-0.31,0.35,9.82,0.08,0.05,-0.05,-32.38,37.03,-34.78,R
1021527.0,-0.38,0.44,9.78,0.08,0.03,-0.06,-33.58,36.13,-35.53,R
1021540.0,-0.43,0.46,9.76,0.08,0.04,-0.04,-32.53,35.68,-34.48,R
1021553.0,-0.37,0.38,9.65,0.04,0.08,-0.09,-30.73,37.03,-36.28,R
1021566.0,-0.39,0.32,9.73,0.03,0.01,-0.02,-33.58,36.13,-35.08,R
1021579.0,-0.43,0.25,9.67,0.02,0.06,-0.08,-33.58,36.13,-35.08,R
1021592.0,-0.47,0.25,9.58,0.06,-0.0,-0.02,-33.58,36.13,-35.08,R
1021605.0,-0.48,0.35,9.53,0.12,0.01,-0.02,-31.33,37.48,-35.68,R
1021618.0,-0.51,0.34,9.53,0.11,0.0,-0.0,-32.38,36.13,-35.53,R
1021631.0,-0.45,0.38,9.61,0.01,0.0,0.02,-32.38,36.13,-35.53,R
1021644.0,-0.45,0.21,9.57,0.04,0.0,-0.0,-32.08,36.43,-35.23,R
1021657.0,-0.39,0.22,9.67,0.03,-0.03,0.04,-32.68,37.03,-33.58,R
1021670.0,-0.43,0.26,9.6,0.05,-0.05,0.0,-32.38,37.33,-35.08,R
1021683.0,-0.41,0.35,9.67,0.04,-0.06,0.07,-32.38,37.33,-35.08,R
1021696.0,-0.42,0.39,9.66,0.03,-0.06,0.01,-32.38,35.38,-35.53,R
1021708.0,-0.34,0.34,9.75,-0.04,-0.03,0.04,-33.13,36.58,-33.88,R
1021722.0,-0.38,0.36,9.82,0.01,-0.05,0.06,-33.13,36.58,-33.88,R
1021735.0,-0.35,0.44,9.86,-0.01,-0.01,0.07,-31.48,36.13,-33.88,R
1021748.0,-0.35,0.44,9.87,0.04,-0.04,0.0,-31.93,36.13,-35.08,R
1021761.0,-0.37,0.49,9.79,-0.02,0.01,0.09,-31.03,36.13,-37.03,R
1021774.0,-0.44,0.47,9.83,-0.02,-0.05,0.02,-31.03,36.13,-37.03,R
1021787.0,-0.38,0.53,9.81,-0.01,0.02,0.06,-31.48,37.33,-35.08,R
1021800.0,-0.33,0.65,9.8,0.03,0.01,0.1,-32.68,36.13,-35.08,R
1021813.0,-0.34,0.63,9.84,0.05,0.01,0.11,-32.68,36.13,-35.08,R
1021826.0,-0.5,0.72,9.76,0.0,0.03,0.07,-32.68,36.58,-35.08,R
1021839.0,-0.45,0.69,9.83,-0.05,0.05,0.02,-31.48,37.33,-34.33,R
1021852.0,-0.43,0.68,9.8,-0.0,0.04,-0.01,-31.48,35.83,-35.83,R
1021865.0,-0.4,0.62,9.79,0.03,0.0,0.05,-32.53,37.18,-34.48,R
1021878.0,-0.47,0.65,9.71,0.0,0.02,-0.02,-33.28,35.68,-34.93,R
1021891.0,-0.49,0.61,9.7,-0.04,0.05,-0.03,-32.38,36.13,-33.88,R
1021904.0,-0.45,0.55,9.76,0.01,0.04,-0.02,-32.08,37.93,-35.23,R
1021916.0,-0.45,0.45,9.74,-0.02,0.01,-0.02,-32.68,38.08,-34.33,R
1021930.0,-0.44,0.42,9.74,0.05,-0.02,0.01,-30.43,35.98,-35.68,R
1021943.0,-0.51,0.47,9.69,0.04,-0.02,0.02,-33.13,36.58,-35.53,R
1021956.0,-0.58,0.46,9.63,0.05,-0.02,0.06,-31.93,37.03,-35.83,R
1021969.0,-0.48,0.47,9.64,-0.01,0.0,-0.03,-31.33,35.98,-35.68,R
1021982.0,-0.51,0.5,9.67,0.01,0.02,0.04,-32.53,37.18,-34.48,R
1021995.0,-0.49,0.4,9.56,-0.01,-0.03,0.03,-32.38,36.58,-35.53,R
1022008.0,-0.5,0.45,9.67,0.01,0.01,0.08,-33.13,36.58,-36.58,R
1022021.0,-0.5,0.48,9.65,0.04,-0.03,0.08,-32.53,36.43,-35.68,R
1022034.0,-0.46,0.51,9.7,0.01,0.01,0.02,-32.98,37.18,-35.23,R
1022047.0,-0.37,0.52,9.66,0.01,-0.03,0.04,-32.08,35.98,-36.88,R
1022060.0,-0.42,0.47,9.68,0.03,-0.04,0.07,-32.38,37.78,-33.88,R
1022073.0,-0.39,0.44,9.73,0.02,-0.01,0.09,-32.38,37.78,-33.88,R
1022086.0,-0.37,0.42,9.81,0.01,-0.0,0.01,-32.68,37.03,-35.53,R
1022099.0,-0.35,0.47,9.75,0.01,0.03,0.01,-31.48,35.38,-35.83,R
1022112.0,-0.32,0.57,9.7,-0.03,0.04,0.0,-31.48,35.38,-35.83,R
1022125.0,-0.32,0.51,9.65,-0.01,0.04,0.02,-32.53,37.48,-34.93,R
1022138.0,-0.25,0.52,9.71,-0.0,0.01,0.05,-32.98,38.23,-32.98,R
1022151.0,-0.26,0.39,9.65,-0.02,-0.03,0.05,-32.98,36.73,-36.13,R
1022164.0,-0.29,0.42,9.75,0.03,-0.01,-0.0,-32.98,36.73,-36.13,R
1022177.0,-0.29,0.43,9.68,-0.03,0.05,0.01,-32.68,35.83,-35.53,R
1022190.0,-0.29,0.48,9.67,0.02,-0.03,0.04,-33.13,37.03,-35.83,R
1022203.0,-0.29,0.52,9.68,0.0,-0.02,0.04,-33.13,37.03,-35.83,R
1022216.0,-0.4,0.56,9.68,-0.06,0.05,-0.03,-33.28,37.93,-36.43,R
1022229.0,-0.43,0.49,9.68,-0.04,0.01,-0.05,-32.08,36.73,-34.18,R
1022242.0,-0.43,0.51,9.71,-0.04,0.02,-0.06,-32.98,35.68,-35.68,R
1022255.0,-0.41,0.51,9.81,0.06,0.0,-0.01,-32.38,36.58,-35.53,R
1022268.0,-0.45,0.54,9.78,0.04,-0.01,-0.03,-31.48,35.83,-35.08,R
1022281.0,-0.46,0.61,9.78,0.04,-0.01,0.04,-31.93,36.58,-35.08,R
1022294.0,-0.49,0.63,9.74,-0.0,-0.01,0.02,-31.93,36.58,-35.08,R
1022307.0,-0.48,0.63,9.74,-0.01,0.05,0.03,-32.08,36.43,-34.93,R
1022320.0,-0.5,0.55,9.73,-0.03,0.04,-0.04,-31.63,36.43,-36.13,R
1022333.0,-0.46,0.49,9.72,0.01,0.01,0.0,-31.48,37.03,-35.08,R
1022346.0,-0.42,0.49,9.74,0.04,-0.01,-0.01,-32.08,35.68,-34.48,R
1022359.0,-0.42,0.44,9.78,-0.03,0.01,-0.04,-32.98,36.73,-35.23,R
1022372.0,-0.49,0.57,9.7,0.01,0.03,-0.06,-30.43,37.18,-34.93,R
1022385.0,-0.5,0.48,9.68,0.03,0.03,-0.03,-32.53,35.98,-36.43,R
1022398.0,-0.55,0.44,9.69,0.03,-0.01,-0.03,-32.98,35.98,-34.93,R
1022411.0,-0.54,0.45,9.62,0.02,-0.01,-0.0,-31.63,35.98,-35.23,R
1022424.0,-0.56,0.47,9.69,0.01,0.05,-0.03,-32.08,35.98,-34.48,R
1022437.0,-0.59,0.48,9.65,-0.01,0.03,-0.04,-32.08,35.98,-35.23,R
1022450.0,-0.52,0.5,9.56,-0.05,0.05,-0.0,-32.08,35.98,-36.43,R
1022463.0,-0.47,0.49,9.63,0.01,-0.01,0.05,-31.48,37.03,-35.83,R
1022476.0,-0.5,0.51,9.63,0.0,-0.02,0.06,-32.53,36.43,-35.68,R
1022489.0,-0.45,0.5,9.69,0.02,-0.01,0.04,-32.68,35.08,-35.83,R
1022501.0,-0.43,0.49,9.67,0.04,-0.0,0.05,-33.13,36.58,-34.33,R
1022515.0,-0.42,0.47,9.64,-0.01,0.03,-0.02,-33.13,37.78,-35.53,R
1022528.0,-0.47,0.5,9.76,0.0,-0.01,0.01,-31.48,36.58,-36.58,R
1022541.0,-0.47,0.46,9.76,0.01,0.0,-0.0,-32.38,37.33,-34.78,R
1022554.0,-0.47,0.48,9.72,-0.04,-0.0,-0.01,-32.38,37.33,-34.78,R
1022567.0,-0.45,0.49,9.75,-0.03,0.06,0.04,-32.08,36.73,-34.18,R
1022580.0,-0.45,0.53,9.68,-0.0,0.04,0.0,-33.73,35.98,-35.23,R
1022593.0,-0.5,0.55,9.71,0.02,-0.01,0.06,-33.73,35.98,-35.23,R
1022606.0,-0.53,0.52,9.77,-0.0,0.01,0.03,-32.38,38.08,-33.88,R
1022619.0,-0.45,0.46,9.77,0.04,0.03,0.03,-30.88,35.98,-33.73,R
1022632.0,-0.44,0.48,9.75,0.01,0.03,-0.03,-30.73,37.03,-34.78,R
1022645.0,-0.45,0.55,9.8,-0.0,0.01,0.04,-30.73,37.03,-34.78,R
1022658.0,-0.43,0.6,9.78,0.02,0.02,0.01,-32.38,36.13,-36.58,R
1022671.0,-0.38,0.52,9.81,0.01,0.03,0.01,-30.88,37.18,-36.13,R
1022684.0,-0.38,0.51,9.74,0.01,-0.01,0.03,-30.88,37.18,-36.13,R
1022697.0,-0.38,0.35,9.76,0.01,0.04,-0.06,-32.08,38.23,-34.93,R
1022709.0,-0.45,0.5,9.7,0.02,0.02,-0.04,-32.08,36.43,-34.48,R
1022723.0,-0.43,0.5,9.7,0.05,0.01,0.03,-32.68,35.08,-35.08,R
1022736.0,-0.51,0.53,9.63,0.03,0.0,-0.01,-32.68,35.08,-35.08,R
1022749.0,-0.5,0.48,9.64,0.04,-0.02,-0.0,-32.08,36.43,-35.23,R
1022762.0,-0.5,0.45,9.61,0.03,0.01,-0.03,-32.08,37.18,-34.48,R
1022775.0,-0.52,0.52,9.59,0.01,0.07,-0.03,-32.08,37.18,-34.48,R
1022788.0,-0.49,0.57,9.61,-0.01,0.04,-0.02,-31.48,37.33,-35.08,R
1022801.0,-0.49,0.52,9.55,-0.01,-0.01,0.0,-31.48,37.03,-34.33,R
1022814.0,-0.58,0.47,9.54,0.01,-0.05,0.06,-31.48,37.03,-34.33,R
1022827.0,-0.57,0.44,9.61,0.04,-0.02,-0.03,-33.13,37.33,-35.08,R
1022840.0,-0.5,0.5,9.63,-0.0,-0.04,-0.04,-30.28,36.13,-35.83,R
1022853.0,-0.45,0.55,9.69,0.03,-0.03,0.01,-32.53,36.43,-33.73,R
1022866.0,-0.57,0.52,9.7,0.05,-0.04,-0.0,-32.68,37.03,-35.83,R
1022879.0,-0.48,0.51,9.72,-0.03,-0.02,0.04,-31.63,35.23,-33.73,R
1022892.0,-0.5,0.45,9.75,-0.02,0.04,0.03,-31.63,37.18,-34.93,R
1022905.0,-0.45,0.48,9.75,-0.0,-0.0,0.0,-32.38,37.03,-34.33,R
1022917.0,-0.42,0.54,9.78,-0.01,0.03,0.03,-32.08,35.68,-34.48,R
1022931.0,-0.48,0.48,9.77,-0.0,0.01,0.04,-31.03,37.03,-33.88,R
1022944.0,-0.48,0.59,9.76,0.0,-0.03,-0.01,-33.28,37.48,-35.68,R
1022957.0,-0.45,0.55,9.78,-0.01,-0.03,0.03,-31.33,35.98,-34.48,R
1022970.0,-0.45,0.56,9.77,-0.0,0.06,-0.0,-32.98,36.73,-36.43,R
1022983.0,-0.55,0.66,9.85,-0.01,0.09,-0.02,-32.53,37.48,-34.93,R
1022996.0,-0.51,0.62,9.73,0.0,0.01,-0.01,-32.53,36.43,-33.43,R
1023009.0,-0.47,0.65,9.71,0.02,-0.04,0.03,-32.53,35.98,-35.68,R
1023022.0,-0.55,0.58,9.74,-0.03,0.03,0.04,-31.48,36.13,-34.33,R
1023035.0,-0.6,0.55,9.77,0.01,-0.02,-0.0,-31.48,36.13,-34.33,R
1023048.0,-0.48,0.62,9.69,0.06,-0.02,0.07,-31.03,35.83,-33.88,R
1023061.0,-0.51,0.7,9.68,0.07,-0.04,0.01,-32.53,36.73,-36.43,R
1023074.0,-0.59,0.64,9.74,0.02,0.01,0.03,-32.53,36.73,-36.43,R
1023087.0,-0.49,0.64,9.72,-0.0,0.01,-0.0,-32.53,35.98,-34.18,R
1023100.0,-0.51,0.59,9.7,0.01,0.01,-0.03,-32.53,36.73,-35.23,R
1023113.0,-0.52,0.55,9.68,0.01,0.04,0.01,-32.08,35.98,-34.93,R
1023125.0,-0.47,0.62,9.69,-0.01,0.02,0.02,-31.33,36.43,-34.48,R
1023139.0,-0.45,0.64,9.7,-0.01,0.01,0.04,-31.03,36.13,-35.53,R
1023152.0,-0.47,0.64,9.66,0.06,-0.01,0.0,-32.38,35.38,-35.83,R
1023165.0,-0.47,0.59,9.67,-0.03,-0.01,-0.0,-32.38,35.38,-35.83,R
1023178.0,-0.48,0.64,9.66,0.0,-0.02,0.01,-30.88,37.18,-34.93,R
1023191.0,-0.57,0.66,9.65,0.04,0.01,0.04,-31.93,38.53,-34.78,R
1023204.0,-0.61,0.6,9.64,-0.02,-0.01,0.03,-31.93,38.53,-34.78,R
1023217.0,-0.57,0.7,9.63,0.01,0.01,0.01,-31.93,37.03,-33.88,R
1023230.0,-0.51,0.61,9.66,-0.01,0.03,-0.02,-32.53,35.68,-34.18,R
1023243.0,-0.53,0.6,9.68,-0.01,0.01,-0.03,-31.48,36.58,-35.53,R
1023256.0,-0.5,0.56,9.74,-0.0,-0.05,0.04,-31.48,36.58,-35.53,R
1023269.0,-0.42,0.55,9.75,0.04,0.02,0.03,-30.28,37.03,-34.78,R
1023282.0,-0.46,0.53,9.72,0.02,0.0,0.03,-31.93,36.58,-36.28,R
1023295.0,-0.5,0.49,9.74,-0.06,0.05,0.01,-31.93,36.58,-36.28,R
1023308.0,-0.51,0.51,9.71,-0.04,-0.0,0.02,-31.63,36.43,-35.68,R
1023321.0,-0.45,0.47,9.73,-0.03,0.04,-0.04,-30.88,36.43,-34.18,R
1023333.0,-0.37,0.49,9.67,0.07,-0.03,0.05,-31.33,36.43,-34.93,R
