t,ax,ay,az,gx,gy,gz,mx,my,mz,label
1094340.0,-0.78,0.1,9.63,-0.0,0.0,0.05,-33.13,35.08,-34.78,T
1094353.0,-0.78,0.13,9.69,0.03,-0.02,0.05,-31.63,36.73,-35.23,T
1094366.0,-0.77,0.11,9.65,0.01,-0.03,0.08,-32.68,35.83,-35.53,T
1094379.0,-0.83,0.17,9.76,-0.04,-0.03,-0.0,-32.68,35.83,-35.53,T
1094392.0,-0.84,0.19,9.71,-0.0,-0.05,0.05,-32.68,35.38,-35.53,T
1094405.0,-0.8,0.2,9.77,0.02,-0.06,0.04,-31.33,35.23,-35.68,T
1094417.0,-0.78,0.3,9.77,0.01,-0.05,0.01,-31.33,35.23,-35.68,T
1094431.0,-0.79,0.19,9.84,-0.02,-0.01,0.0,-31.03,34.63,-36.28,T
1094444.0,-0.64,0.25,9.88,-0.01,0.05,-0.01,-31.03,35.38,-35.53,T
1094457.0,-0.67,0.26,9.85,0.01,0.03,0.01,-31.48,34.63,-35.83,T
1094470.0,-0.68,0.29,9.83,0.01,0.01,-0.03,-30.28,36.13,-35.08,T
1094483.0,-0.67,0.23,9.82,0.05,-0.02,0.03,-31.63,35.23,-36.13,T
1094496.0,-0.68,0.19,9.75,0.04,-0.01,-0.05,-31.48,35.38,-35.53,T
1094509.0,-0.71,0.26,9.68,0.01,0.04,-0.0,-31.48,35.08,-36.28,T
1094522.0,-0.76,0.24,9.68,0.02,0.03,-0.01,-31.33,34.93,-36.88,T
1094535.0,-0.73,0.14,9.62,0.01,0.02,-0.01,-31.63,36.73,-36.43,T
1094548.0,-0.79,0.14,9.54,-0.02,-0.03,-0.05,-32.38,33.13,-34.78,T
1094561.0,-0.79,0.14,9.66,-0.01,0.03,0.01,-31.33,35.23,-37.18,T
1094574.0,-0.82,0.11,9.62,0.01,0.01,-0.01,-31.63,35.68,-34.93,T
1094587.0,-0.77,0.13,9.63,0.02,-0.04,0.01,-31.48,35.38,-36.28,T
1094600.0,-0.83,0.13,9.59,0.01,-0.05,0.01,-30.73,37.03,-36.28,T
1094613.0,-0.84,0.11,9.57,0.02,-0.05,-0.01,-31.03,33.88,-35.08,T
1094625.0,-0.81,0.04,9.64,0.03,-0.04,-0.05,-31.33,35.68,-35.23,T
1094639.0,-0.81,0.12,9.63,-0.01,0.0,0.02,-30.88,36.73,-34.93,T
1094652.0,-0.74,0.1,9.72,0.01,-0.02,0.04,-32.38,35.83,-35.08,T
1094665.0,-0.74,0.17,9.73,-0.01,0.01,0.01,-31.03,35.83,-35.53,T
1094678.0,-0.83,0.26,9.77,0.01,-0.0,-0.01,-32.38,35.38,-34.78,T
1094691.0,-0.77,0.23,9.79,0.01,-0.04,-0.04,-31.33,37.18,-36.43,T
1094704.0,-0.75,0.27,9.77,-0.02,0.01,-0.08,-29.83,35.08,-36.28,T
1094717.0,-0.7,0.34,9.78,0.03,-0.06,-0.02,-31.63,35.98,-36.13,T
1094730.0,-0.66,0.31,9.77,0.02,-0.06,0.01,-31.33,34.93,-34.93,T
1094743.0,-0.71,0.33,9.69,0.04,-0.08,0.03,-30.43,34.93,-35.23,T
1094756.0,-0.8,0.29,9.76,0.01,0.01,-0.07,-31.03,35.08,-37.03,T
1094769.0,-0.75,0.26,9.81,-0.0,-0.04,-0.02,-31.03,35.08,-37.03,T
