t,ax,ay,az,gx,gy,gz,mx,my,mz,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1164358.0,-0.1,0.47,9.79,-0.02,0.05,0.0,-33.73,33.28,-34.93,C
1164371.0,-0.12,0.44,9.81,0.01,0.06,-0.01,-33.13,32.83,-35.83,C
1164384.0,-0.1,0.47,9.77,0.02,0.0,0.01,-33.28,31.48,-36.13,C
1164397.0,-0.16,0.47,9.73,0.04,0.0,0.0,-32.98,34.03,-33.43,C
1164410.0,-0.16,0.54,9.72,0.04,-0.0,0.01,-34.18,33.28,-33.73,C
1164423.0,-0.17,0.44,9.67,0.0,0.04,-0.04,-32.38,33.58,-33.88,C
1164436.0,-0.17,0.51,9.69,0.01,0.02,0.03,-32.38,33.58,-33.88,C
1164449.0,-0.14,0.49,9.67,-0.03,0.04,-0.04,-32.53,33.73,-35.23,C
1164462.0,-0.12,0.41,9.67,0.04,-0.07,0.0,-35.38,33.28,-34.93,C
1164475.0,-0.16,0.47,9.71,0.01,-0.03,0.01,-35.38,33.28,-34.93,C
1164488.0,-0.1,0.42,9.69,0.03,0.0,0.02,-34.63,32.23,-33.43,C
1164500.0,-0.13,0.5,9.68,-0.02,0.02,0.01,-33.28,32.98,-34.93,C
1164514.0,-0.15,0.45,9.68,0.04,-0.02,0.02,-32.68,34.33,-34.78,C
1164527.0,-0.14,0.45,9.73,0.04,0.01,-0.0,-32.68,34.33,-34.78,C
1164540.0,-0.13,0.56,9.68,0.02,0.01,0.01,-32.38,33.58,-35.08,C
1164553.0,-0.15,0.45,9.7,-0.02,0.03,0.05,-32.98,34.03,-34.18,C
1164566.0,-0.18,0.5,9.69,-0.07,-0.0,-0.03,-32.98,34.03,-34.18,C
1164579.0,-0.13,0.45,9.7,-0.03,0.0,-0.0,-32.53,32.98,-33.73,C
1164592.0,-0.15,0.44,9.74,0.05,-0.01,0.0,-34.63,33.28,-33.73,C
1164605.0,-0.12,0.45,9.67,0.03,-0.0,-0.0,-33.88,32.83,-34.33,C
1164618.0,-0.19,0.44,9.68,0.01,-0.03,-0.03,-33.88,32.83,-34.33,C
1164631.0,-0.2,0.31,9.77,-0.01,0.0,0.02,-33.88,33.13,-34.78,C
1164644.0,-0.18,0.46,9.77,0.02,-0.0,0.02,-31.93,32.83,-35.83,C
1164657.0,-0.24,0.4,9.7,0.02,-0.0,0.04,-31.93,32.83,-35.83,C
1164670.0,-0.29,0.39,9.68,-0.03,-0.01,-0.03,-31.93,32.83,-35.08,C
1164683.0,-0.24,0.4,9.63,-0.01,0.02,0.03,-32.98,33.28,-35.68,C
1164696.0,-0.29,0.41,9.74,-0.0,-0.03,-0.04,-33.58,34.63,-33.88,C
1164708.0,-0.2,0.37,9.79,0.02,-0.02,0.04,-32.98,33.28,-34.93,C
1164722.0,-0.13,0.43,9.76,0.05,-0.04,-0.0,-34.63,33.28,-35.23,C
1164735.0,-0.06,0.4,9.79,0.03,-0.05,0.07,-32.98,32.23,-33.73,C
1164748.0,-0.1,0.51,9.84,0.06,-0.06,0.02,-33.28,32.98,-34.93,C
1164761.0,-0.12,0.49,9.75,-0.01,0.06,-0.04,-33.58,32.38,-35.08,C
1164774.0,-0.14,0.46,9.71,-0.03,0.04,0.03,-32.53,32.98,-35.23,C
1164787.0,-0.2,0.46,9.67,-0.01,0.04,0.02,-34.18,32.23,-34.48,C
1164800.0,-0.23,0.41,9.69,0.05,0.03,0.05,-32.68,31.93,-35.08,C
1164813.0,-0.16,0.45,9.61,0.02,0.01,0.06,-34.18,32.23,-34.48,C
1164826.0,-0.19,0.44,9.63,-0.01,0.07,-0.03,-32.98,33.73,-34.93,C
1164839.0,-0.18,0.48,9.65,0.06,-0.02,0.02,-33.13,32.38,-33.88,C
1164852.0,-0.17,0.47,9.6,0.05,-0.03,0.07,-33.58,33.58,-34.33,C
1164865.0,-0.18,0.43,9.65,0.04,-0.03,0.09,-33.28,33.28,-34.18,C
1164878.0,-0.09,0.46,9.74,-0.02,-0.0,0.04,-31.33,32.98,-36.13,C
1164891.0,-0.17,0.49,9.76,0.02,0.02,0.05,-31.48,32.83,-35.08,C
