t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
835991.0,0.3,0.34,9.66,0.02,-0.02,-0.05,-33.28,31.78,-34.48,N,-0.016268271484912465,-0.04019505658897929,0.04019505658897929,0.016268271484912465
836004.0,0.37,0.35,9.66,-0.01,0.04,-0.03,-35.83,33.73,-33.73,N,0.044606058421671875,-0.00030934385726423444,0.00030934385726423444,0.044606058421671875
836017.0,0.32,0.33,9.68,-0.01,0.02,-0.01,-34.33,32.83,-35.08,N,0.0238242770246131,0.050595488186384534,0.050595488186384534,0.0238242770246131
836030.0,0.32,0.32,9.61,-0.02,0.0,-0.04,-35.23,31.93,-33.88,N,0.005768036818961769,0.0558358741514025,0.0558358741514025,0.005768036818961769
836042.0,0.34,0.32,9.61,0.0,-0.01,-0.03,-33.73,31.48,-32.53,N,-0.005879311106376278,0.01406354525948125,0.01406354525948125,0.005879311106376278
836056.0,0.35,0.29,9.63,0.02,-0.05,0.03,-35.53,33.88,-34.78,N,-0.04953825615850372,0.0323285515629363,0.0323285515629363,0.04953825615850372
836069.0,0.27,0.35,9.68,0.02,-0.06,0.03,-34.93,31.48,-33.73,N,-0.05950968434143248,-0.018786976898509385,0.018786976898509385,0.05950968434143248
836082.0,0.29,0.29,9.7,-0.01,-0.03,0.01,-34.93,31.48,-33.73,N,-0.026871788921231952,-0.00282418863087476,0.00282418863087476,0.026871788921231952
836095.0,0.26,0.26,9.76,-0.01,0.0,0.01,-33.28,30.73,-36.13,N,0.0030424956275543345,0.018377055281784627,0.018377055281784627,0.0030424956275543345
836108.0,0.34,0.35,9.78,0.02,-0.06,0.05,-34.18,31.48,-34.48,N,-0.06034860937263372,0.03169839262953876,0.03169839262953876,0.06034860937263372
836121.0,0.31,0.35,9.84,0.03,-0.06,0.04,-34.18,31.48,-34.48,N,-0.060557375470437436,-0.00608807720417999,0.00608807720417999,0.060557375470437436
836134.0,0.35,0.37,9.83,-0.01,-0.01,-0.01,-35.98,30.88,-33.58,N,-0.006090007524173187,0.04271944226146568,0.04271944226146568,0.006090007524173187
836147.0,0.28,0.34,9.81,-0.02,-0.03,0.0,-34.78,33.13,-35.08,N,-0.025824097792227,0.012387625517071964,0.012387625517071964,0.025824097792227
836160.0,0.35,0.31,9.8,0.01,0.01,-0.04,-35.98,31.18,-33.88,N,0.013854779161677537,0.014270381037291762,0.014270381037291762,0.013854779161677537
836173.0,0.3,0.31,9.83,0.04,-0.01,0.03,-33.13,31.18,-33.88,N,-0.01090900065359733,-0.007557161168778761,0.007557161168778761,0.01090900065359733
836186.0,0.34,0.33,9.74,0.02,-0.04,-0.02,-33.88,32.38,-35.08,N,-0.03746951539757185,-0.03043432482384743,0.03043432482384743,0.03746951539757185
836199.0,0.33,0.34,9.83,-0.01,-0.01,0.05,-34.93,32.53,-32.98,N,-0.00860678261777691,-0.024355013827628228,0.024355013827628228,0.00860678261777691
836212.0,0.31,0.36,9.77,-0.0,0.02,0.02,-34.78,31.63,-33.88,N,0.02193766086440691,-0.005251082492971946,0.005251082492971946,0.02193766086440691
836225.0,0.29,0.34,9.77,-0.01,0.03,0.0,-35.83,32.53,-33.73,N,0.03337624269194125,0.013644082743880629,0.013644082743880629,0.03337624269194125
836238.0,0.31,0.37,9.68,-0.03,0.03,0.02,-33.73,31.48,-34.18,N,0.033793774887548665,0.0028337295297506233,0.0028337295297506233,0.033793774887548665
836250.0,0.28,0.43,9.68,-0.01,0.03,-0.02,-34.33,31.93,-33.13,N,0.03421516772314249,0.022567819797804436,0.022567819797804436,0.03421516772314249
836264.0,0.3,0.38,9.67,0.02,-0.04,0.05,-35.98,31.18,-33.88,N,-0.0404057530067762,0.0013685062051382473,0.0013685062051382473,0.0404057530067762
836277.0,0.34,0.43,9.72,-0.03,0.0,0.01,-35.38,31.78,-34.18,N,0.004298952854362999,-0.041242747717984245,0.041242747717984245,0.004298952854362999
836290.0,0.36,0.36,9.65,0.0,0.0,0.0,-35.38,32.98,-36.88,N,0.0028337295297506233,-0.019830807387527946,0.019830807387527946,0.0028337295297506233
836303.0,0.33,0.34,9.71,0.03,-0.03,-0.01,-34.78,32.83,-33.58,N,-0.02854577834364804,-0.005042316395168235,0.005042316395168235,0.02854577834364804
836316.0,0.33,0.39,9.69,0.04,-0.02,0.01,-35.23,31.18,-33.58,N,-0.020041503805324854,-0.03872790294437371,0.03872790294437371,0.020041503805324854
836329.0,0.35,0.34,9.71,0.01,-0.0,-0.01,-33.88,33.13,-34.33,N,0.0026249634319469115,0.021728894766603196,0.021728894766603196,0.0026249634319469115
836342.0,0.36,0.38,9.77,-0.02,0.02,0.0,-34.93,32.98,-34.93,N,0.024033043122416813,-0.007346464750981851,0.007346464750981851,0.024033043122416813
836355.0,0.39,0.3,9.69,-0.04,0.02,-0.06,-34.93,32.53,-34.93,N,0.0278062754428292,-0.00294693413715833,0.00294693413715833,0.0278062754428292
836368.0,0.34,0.28,9.74,0.0,-0.01,0.04,-36.43,31.63,-33.88,N,-0.008815548715580622,0.03609985356335548,0.03609985356335548,0.008815548715580622
836381.0,0.29,0.39,9.71,0.06,-0.04,-0.01,-36.43,31.63,-33.88,N,-0.040401892366789795,0.013013923810483097,0.013013923810483097,0.040401892366789795
836394.0,0.26,0.44,9.67,0.01,-0.01,0.03,-34.63,31.03,-34.18,N,-0.009024314813384332,-0.04061451910457991,0.04061451910457991,0.009024314813384332
836407.0,0.28,0.47,9.73,0.04,-0.01,0.02,-36.13,32.53,-34.48,N,-0.01048953813799671,-0.048071102513898144,0.048071102513898144,0.01048953813799671
836420.0,0.3,0.35,9.75,0.0,0.02,0.04,-36.13,32.53,-34.48,N,0.021098735833205668,-0.03914543513998114,0.03914543513998114,0.021098735833205668
836433.0,0.32,0.37,9.77,0.0,-0.01,-0.03,-35.38,33.73,-34.93,N,-0.005879311106376278,0.025289500349225474,0.025289500349225474,0.005879311106376278
836446.0,0.32,0.38,9.74,0.03,-0.06,0.04,-34.78,31.93,-33.88,N,-0.060557375470437436,0.0038814206587555753,0.0038814206587555753,0.060557375470437436
836458.0,0.32,0.44,9.76,0.04,-0.01,0.04,-35.38,31.48,-34.93,N,-0.011328463169197951,0.005766106498968572,0.005766106498968572,0.011328463169197951
836472.0,0.34,0.45,9.78,-0.05,0.02,-0.01,-35.38,31.48,-34.93,N,0.026337191478230427,-0.000728806372864855,0.000728806372864855,0.026337191478230427
836485.0,0.33,0.4,9.75,-0.03,0.01,-0.04,-34.18,31.48,-34.48,N,0.016367693615294863,0.031487696211741856,0.031487696211741856,0.016367693615294863
836498.0,0.3,0.34,9.78,0.02,0.02,-0.03,-35.23,32.38,-33.58,N,0.022778516215601344,0.012805157712679387,0.012805157712679387,0.022778516215601344
836511.0,0.34,0.31,9.75,0.04,0.02,-0.02,-35.23,32.38,-33.58,N,0.02110259647319206,0.03505216243435053,0.03505216243435053,0.02110259647319206
836524.0,0.32,0.38,9.79,0.04,-0.0,0.02,-34.63,31.03,-34.48,N,-0.0005181099550679461,-0.0424992049447929,0.0424992049447929,0.0005181099550679461
836537.0,0.26,0.44,9.74,0.03,-0.02,0.03,-34.78,31.63,-35.08,N,-0.020252200223121762,-0.0011482688884654755,0.0011482688884654755,0.020252200223121762
836550.0,0.28,0.45,9.74,-0.02,0.06,0.03,-36.58,32.23,-35.68,N,0.06266036830733,-0.000728806372864855,0.000728806372864855,0.06266036830733
836563.0,0.31,0.41,9.74,0.01,0.01,-0.07,-32.98,32.53,-34.48,N,0.0151131667084794,0.03505216243435053,0.03505216243435053,0.0151131667084794
836576.0,0.31,0.43,9.72,-0.01,0.03,-0.04,-34.33,31.93,-34.78,N,0.03505409275434373,0.032954849856347425,0.032954849856347425,0.03505409275434373
836589.0,0.34,0.45,9.7,0.04,-0.04,-0.01,-35.83,32.23,-33.73,N,-0.03914543513998114,0.013852848841684338,0.013852848841684338,0.03914543513998114
836602.0,0.41,0.41,9.75,0.0,0.02,0.01,-35.83,32.23,-33.73,N,0.02235712338000753,-0.01794998218730134,0.01794998218730134,0.02235712338000753
836615.0,0.38,0.45,9.73,-0.01,0.01,-0.03,-35.53,32.38,-34.33,N,0.01469177387288558,-0.008185389782183092,0.008185389782183092,0.01469177387288558
836628.0,0.34,0.41,9.69,-0.01,-0.01,0.05,-34.78,30.88,-34.78,N,-0.00860678261777691,0.003879490338762378,0.003879490338762378,0.00860678261777691
836641.0,0.34,0.41,9.62,-0.0,0.05,0.02,-34.78,30.88,-34.78,N,0.0518519454131932,-0.03956682797557496,0.03956682797557496,0.0518519454131932
836654.0,0.37,0.41,9.65,0.02,0.01,0.0,-36.88,31.63,-33.88,N,0.011548700485870722,-0.030225558726043718,0.030225558726043718,0.011548700485870722
836666.0,0.28,0.34,9.63,-0.0,0.01,-0.07,-35.38,32.53,-34.93,N,0.01574139532188373,0.004929111787760529,0.004929111787760529,0.01574139532188373
836680.0,0.31,0.31,9.56,-0.02,0.04,-0.02,-34.93,31.78,-34.18,N,0.044814824519475584,-0.042081672749185485,0.042081672749185485,0.044814824519475584
836693.0,0.26,0.3,9.6,-0.03,0.03,-0.05,-34.93,32.53,-34.18,N,0.03673001249675301,0.02277658589560815,0.02277658589560815,0.03673001249675301
836706.0,0.19,0.35,9.54,-0.02,0.06,-0.06,-35.23,32.83,-33.58,N,0.06643553094773558,0.03295871049633382,0.03295871049633382,0.06643553094773558
836719.0,0.18,0.34,9.59,0.04,-0.04,0.0,-34.18,31.78,-34.48,N,-0.03956489765558176,0.033793774887548665,0.033793774887548665,0.03956489765558176
836732.0,0.2,0.3,9.6,-0.0,-0.06,-0.04,-34.78,31.18,-35.08,N,-0.05531698950541947,0.009453318227860818,0.009453318227860818,0.05531698950541947
836745.0,0.19,0.3,9.63,0.06,-0.05,0.01,-34.93,33.28,-33.73,N,-0.0512122455809198,0.021939591184400104,0.021939591184400104,0.0512122455809198
836758.0,0.25,0.25,9.61,0.01,0.01,0.01,-34.78,31.63,-35.08,N,0.011757466583674435,0.012176929099275055,0.012176929099275055,0.011757466583674435
836771.0,0.26,0.28,9.7,0.04,-0.03,0.02,-34.78,33.13,-33.13,N,-0.030432394503854234,0.09257658317610948,0.09257658317610948,0.030432394503854234
836784.0,0.31,0.31,9.74,0.06,-0.0,0.05,-35.83,32.53,-34.18,N,-0.0030329547286784713,0.0647576808853331,0.0647576808853331,0.0030329547286784713
836797.0,0.27,0.28,9.74,-0.02,0.02,-0.05,-36.58,32.98,-33.73,N,0.026130355700419917,-0.02707862469904247,0.02707862469904247,0.026130355700419917
