t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
904163.0,0.21,0.6,9.69,-0.03,0.04,-0.01,-35.53,30.43,-32.83,N,0.04752316031962208,-0.06611288227541819,0.06611288227541819,0.04752316031962208
904176.0,0.16,0.55,9.79,0.04,0.01,0.0,-35.98,30.43,-33.58,N,0.004028810977451746,-0.09248413814072041,0.09248413814072041,0.004028810977451746
904189.0,0.2,0.54,9.76,0.08,0.02,0.03,-35.98,30.13,-33.13,N,0.0020086246028804228,-0.07452000786407237,0.07452000786407237,0.0020086246028804228
904202.0,0.21,0.66,9.7,0.04,-0.0,0.07,-35.98,30.13,-33.13,N,-0.015922751419605242,-0.012292386285592682,0.012292386285592682,0.015922751419605242
904215.0,0.15,0.64,9.73,0.0,0.04,0.0,-37.48,30.73,-35.23,N,0.040544904428788206,-0.0005520051778430707,0.0005520051778430707,0.040544904428788206
904228.0,0.22,0.6,9.81,-0.0,0.04,0.04,-35.98,28.63,-33.88,N,0.034698408620857525,-0.0007333142394639963,0.0007333142394639963,0.034698408620857525
904241.0,0.2,0.63,9.77,-0.03,0.01,0.04,-35.38,29.08,-33.43,N,0.011054456360173857,-0.04880847973692915,0.04880847973692915,0.011054456360173857
904254.0,0.27,0.62,9.73,0.05,0.01,0.09,-38.08,28.63,-35.83,N,-0.010964681903342696,-0.04531203417264927,0.04531203417264927,0.010964681903342696
904267.0,0.23,0.68,9.74,0.05,-0.04,0.06,-36.43,30.43,-32.83,N,-0.055180783713286115,-0.03979540223379807,0.03979540223379807,0.055180783713286115
904280.0,0.28,0.75,9.71,0.02,-0.0,0.07,-36.43,29.68,-33.88,N,-0.012244996793704443,-0.04971154126632316,0.04971154126632316,0.012244996793704443
904292.0,0.3,0.71,9.75,0.04,0.02,0.04,-36.43,29.68,-33.88,N,0.007902509902699348,-0.03357165306489966,0.03357165306489966,0.007902509902699348
904306.0,0.24,0.68,9.72,0.01,0.0,0.04,-36.13,31.03,-33.73,N,-0.0060212476248060285,-0.05668979715715704,0.05668979715715704,0.0060212476248060285
904319.0,0.26,0.66,9.71,0.04,-0.02,0.05,-36.88,29.38,-35.08,N,-0.032439892981996475,-0.058151421109139706,0.058151421109139706,0.032439892981996475
904332.0,0.29,0.71,9.67,0.02,-0.01,0.07,-36.43,30.13,-33.88,N,-0.021965191526882734,-0.006068637116694269,0.006068637116694269,0.021965191526882734
904345.0,0.26,0.66,9.64,-0.02,0.07,-0.03,-34.78,30.43,-33.13,N,0.07776811511017188,-0.018153517331249248,0.018153517331249248,0.07776811511017188
904358.0,0.29,0.75,9.63,-0.04,0.04,-0.02,-35.53,30.88,-33.58,N,0.05082366158455515,0.0121388269511888,0.0121388269511888,0.05082366158455515
904371.0,0.35,0.68,9.71,-0.04,0.02,0.01,-36.58,31.03,-35.68,N,0.02699840026225056,-0.08232118153824966,0.08232118153824966,0.02699840026225056
904384.0,0.32,0.6,9.66,0.03,-0.0,0.05,-35.53,29.38,-34.33,N,-0.011160626202689499,-0.06363529879382854,0.06363529879382854,0.011160626202689499
904397.0,0.25,0.6,9.61,0.02,-0.01,0.02,-35.83,29.08,-34.93,N,-0.014657071766969374,-0.07260098680507138,0.07260098680507138,0.014657071766969374
904410.0,0.32,0.67,9.67,0.05,-0.01,0.01,-35.38,30.28,-34.48,N,-0.0187120797538379,0.0009423730283019624,0.0009423730283019624,0.0187120797538379
904423.0,0.3,0.74,9.65,-0.03,0.03,-0.02,-36.43,29.38,-33.58,N,0.03926458953842646,-0.03137015762870741,0.03137015762870741,0.03926458953842646
904436.0,0.27,0.74,9.55,-0.04,0.03,-0.06,-34.63,29.83,-33.73,N,0.046949962659307544,-0.013754010237575354,0.013754010237575354,0.046949962659307544
904449.0,0.23,0.69,9.6,-0.05,0.02,0.01,-35.98,28.93,-33.88,N,0.028837277575200958,0.029921648166215904,0.029921648166215904,0.028837277575200958
904462.0,0.23,0.68,9.65,-0.0,-0.03,0.02,-37.63,30.43,-32.38,N,-0.03041970660742515,0.02511213345741192,0.02511213345741192,0.03041970660742515
904475.0,0.27,0.48,9.67,-0.0,0.05,-0.04,-35.38,30.73,-33.73,N,0.056111594969897184,0.020908570663084828,0.020908570663084828,0.056111594969897184
904488.0,0.2,0.58,9.65,-0.04,-0.0,0.02,-35.23,30.88,-34.78,N,0.006096386843911311,-0.05537672801263293,0.05537672801263293,0.006096386843911311
904500.0,0.22,0.67,9.65,0.01,0.01,-0.0,-35.98,30.13,-33.58,N,0.009545442916302944,0.007329312242384818,0.007329312242384818,0.009545442916302944
904514.0,0.28,0.64,9.69,0.02,-0.03,0.07,-34.93,31.03,-34.93,N,-0.04140558099323931,0.0014828164344541325,0.0014828164344541325,0.04140558099323931
904527.0,0.26,0.69,9.74,0.01,-0.03,0.07,-35.53,31.18,-34.78,N,-0.0395667036802889,-0.024000013139179936,0.024000013139179936,0.0395667036802889
904540.0,0.22,0.67,9.8,0.02,-0.01,0.02,-36.58,29.83,-34.93,N,-0.014657071766969374,0.041103466851376856,0.041103466851376856,0.014657071766969374
904553.0,0.22,0.62,9.82,0.02,0.03,-0.0,-36.58,29.83,-34.93,N,0.02714695506970912,0.009922696277270673,0.009922696277270673,0.02714695506970912
904566.0,0.23,0.61,9.8,0.01,0.01,-0.01,-34.93,29.83,-33.73,N,0.011007066868285616,-0.008056069237103232,0.008056069237103232,0.011007066868285616
904579.0,0.25,0.72,9.79,0.01,-0.01,-0.02,-36.58,30.28,-34.18,N,-0.006971698646088289,-0.04197877865355384,0.04197877865355384,0.006971698646088289
