t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-0.004742284393706011,0.026622319457769723,0.026622319457769723,0.004742284393706011
964001.0,-0.48,0.3,9.76,-0.01,0.03,-0.01,-33.28,30.73,-35.68,N,-0.013294202938233489,0.03575032707842497,0.03575032707842497,0.013294202938233489
964015.0,-0.51,0.24,9.91,0.02,-0.01,0.04,-33.88,30.13,-34.33,N,0.03030167123370011,-0.08858524515398195,0.08858524515398195,0.03030167123370011
964028.0,-0.51,0.15,9.8,0.06,-0.0,0.03,-33.73,29.08,-35.23,N,0.011603683140468595,0.031003836458789524,0.031003836458789524,0.011603683140468595
964041.0,-0.4,0.28,9.76,0.02,-0.01,0.06,-33.28,30.28,-35.23,N,0.04982127328684803,-0.029710542291578813,0.029710542291578813,0.04982127328684803
964054.0,-0.36,0.31,9.69,-0.03,0.03,-0.03,-35.98,29.38,-35.53,N,-0.028502659809532326,-0.007719470944546975,0.007719470944546975,0.028502659809532326
964067.0,-0.42,0.31,9.69,-0.0,0.05,0.0,-33.13,30.88,-35.83,N,-0.0063217679085027815,0.01439104913731185,0.01439104913731185,0.0063217679085027815
964080.0,-0.44,0.27,9.58,-0.0,-0.01,0.02,-33.73,30.73,-35.23,N,0.015093214362401273,0.00710271740462179,0.00710271740462179,0.015093214362401273
964093.0,-0.44,0.24,9.55,-0.0,0.06,0.01,-35.38,29.08,-36.13,N,0.0031221364151118288,-0.008737532872595752,0.008737532872595752,0.0031221364151118288
964106.0,-0.36,0.14,9.56,-0.0,0.04,-0.03,-33.28,29.53,-34.48,N,-0.035285274285265324,0.018702194319160946,0.018702194319160946,0.035285274285265324
964119.0,-0.34,0.18,9.57,-0.0,0.03,0.02,-33.88,30.13,-36.28,N,0.013829627550563856,0.010150275774633469,0.010150275774633469,0.013829627550563856
964132.0,-0.31,0.29,9.63,0.08,0.02,0.01,-33.13,30.43,-35.53,N,-0.012858857500447136,0.009890083401465048,0.009890083401465048,0.012858857500447136
964145.0,-0.3,0.28,9.6,0.03,-0.03,0.03,-32.68,30.13,-36.28,N,0.019018091022120303,-0.04491899916287765,0.04491899916287765,0.019018091022120303
964158.0,-0.32,0.25,9.6,-0.01,0.0,0.03,-32.68,30.13,-36.28,N,0.02669269127694043,-0.02881855651249168,0.02881855651249168,0.02669269127694043
964171.0,-0.36,0.36,9.56,0.02,0.01,0.05,-33.58,30.13,-35.83,N,0.03942967885435536,0.03189582223787665,0.03189582223787665,0.03942967885435536
964184.0,-0.34,0.35,9.61,-0.0,-0.0,-0.01,-35.23,30.88,-35.83,N,-0.014502085420279974,0.03638212048434368,0.03638212048434368,0.014502085420279974
964197.0,-0.44,0.31,9.64,-0.02,0.01,-0.03,-35.23,30.88,-35.83,N,-0.030026438994538166,0.025358732645932306,0.025358732645932306,0.030026438994538166
964209.0,-0.38,0.4,9.63,-0.01,-0.03,-0.01,-34.78,30.88,-36.28,N,-0.011398822720477363,0.0031778407449027605,0.0031778407449027605,0.011398822720477363
964223.0,-0.43,0.35,9.68,0.02,-0.05,0.01,-35.53,29.68,-36.28,N,0.0022858549658156297,-0.04225770931499603,0.04225770931499603,0.0022858549658156297
964236.0,-0.4,0.31,9.75,-0.07,-0.02,-0.08,-35.38,30.28,-34.48,N,-0.06709989106390718,-0.03794656413314693,0.03794656413314693,0.06709989106390718
964249.0,-0.39,0.33,9.76,-0.04,-0.04,-0.05,-32.08,30.73,-36.43,N,-0.04365541235104023,0.0014085366761082776,0.0014085366761082776,0.04365541235104023
964262.0,-0.33,0.28,9.89,0.04,-0.03,-0.02,-32.08,31.03,-36.43,N,-0.031936486701674066,-0.02052683034113262,0.02052683034113262,0.031936486701674066
964275.0,-0.33,0.26,9.87,0.06,-0.05,0.0,-34.18,29.53,-35.23,N,-0.016096236424456525,-0.018111065377039652,0.018111065377039652,0.016096236424456525
964288.0,-0.35,0.32,9.93,0.04,-0.01,0.01,-34.18,29.53,-35.23,N,-0.003288877027870883,-0.027610674030445193,0.027610674030445193,0.003288877027870883
964301.0,-0.31,0.32,9.88,-0.0,0.02,-0.09,-33.28,30.73,-36.88,N,-0.09321228703879039,-0.019634844562045492,0.019634844562045492,0.09321228703879039
964314.0,-0.29,0.28,9.86,-0.0,0.03,-0.06,-32.68,30.13,-37.03,N,-0.06424878066202785,-0.03041270751666823,0.03041270751666823,0.06424878066202785
964327.0,-0.34,0.28,9.8,-0.01,0.06,0.01,-32.68,30.13,-37.03,N,0.0052777090060363765,-0.06761223573499889,0.06761223573499889,0.0052777090060363765
964340.0,-0.42,0.32,9.74,0.01,0.04,-0.01,-33.88,30.13,-35.83,N,-0.01792124482304194,0.01262174506851737,0.01262174506851737,0.01792124482304194
964353.0,-0.44,0.36,9.69,0.01,0.02,0.03,-32.08,28.33,-36.43,N,0.021749752689172626,-0.045937061090926413,0.045937061090926413,0.021749752689172626
