t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
1021292.0,-0.36,0.42,9.72,0.02,-0.03,-0.02,-30.28,36.58,-34.33,N,0.02183408391164968,0.010962504080461719,0.010962504080461719,0.02183408391164968
1021306.0,-0.34,0.36,9.74,-0.02,0.02,-0.05,-31.63,37.48,-34.93,N,0.05074871733720718,0.0024250250321869622,0.0024250250321869622,0.05074871733720718
1021319.0,-0.26,0.35,9.8,-0.02,0.05,-0.1,-32.08,37.18,-35.68,N,0.09985044323653179,0.03163283584949149,0.03163283584949149,0.09985044323653179
1021332.0,-0.36,0.28,9.79,0.01,0.02,-0.09,-32.08,37.18,-35.68,N,0.09043989964219482,0.020083104097641098,0.020083104097641098,0.09043989964219482
1021345.0,-0.3,0.33,9.83,0.05,-0.01,-0.05,-31.48,38.08,-34.78,N,0.050946863777196406,-0.0180487772041483,0.0180487772041483,0.050946863777196406
1021358.0,-0.44,0.26,9.77,0.07,-0.01,-0.05,-33.13,37.78,-33.88,N,0.05075356805909134,-0.03862569492871498,0.03862569492871498,0.05075356805909134
1021371.0,-0.35,0.33,9.77,0.03,0.02,-0.05,-30.88,37.48,-35.23,N,0.050265478041944534,-0.00951453197046299,0.00951453197046299,0.050265478041944534
1021384.0,-0.34,0.39,9.76,0.07,-0.01,-0.05,-32.53,37.18,-34.48,N,0.05075356805909134,0.0017468731115245358,0.0017468731115245358,0.05075356805909134
1021397.0,-0.4,0.35,9.78,0.09,0.05,-0.07,-31.33,36.73,-34.93,N,0.06880147237534505,0.011450594097608534,0.011450594097608534,0.06880147237534505
1021410.0,-0.42,0.27,9.78,0.02,0.02,-0.09,-33.13,38.08,-34.78,N,0.09034325178314229,-0.007761935249159681,0.007761935249159681,0.09034325178314229
1021423.0,-0.41,0.31,9.72,0.07,0.02,-0.04,-32.98,37.93,-34.93,N,0.039883605135198105,0.0012587830943777212,0.0012587830943777212,0.039883605135198105
1021436.0,-0.36,0.38,9.8,0.01,0.03,-0.06,-31.33,37.48,-34.48,N,0.06016249474613358,0.030176650334524657,0.030176650334524657,0.06016249474613358
1021449.0,-0.37,0.29,9.78,0.02,0.02,-0.07,-32.53,37.18,-34.48,N,0.07035268884206967,0.01998645623858857,0.01998645623858857,0.07035268884206967
1021462.0,-0.37,0.31,9.84,0.09,-0.02,-0.06,-32.53,38.68,-35.68,N,0.0608471142959749,-0.008636616702516612,0.008636616702516612,0.0608471142959749
1021475.0,-0.4,0.32,9.7,0.07,-0.01,-0.01,-32.68,36.58,-35.53,N,0.010772442176946107,-0.0074719916720020945,0.0074719916720020945,0.010772442176946107
1021488.0,-0.38,0.28,9.79,0.12,0.03,-0.04,-31.48,37.03,-34.78,N,0.039108805355483146,0.0015519604861247546,0.0015519604861247546,0.039108805355483146
1021500.0,-0.34,0.26,9.79,0.08,0.0,-0.08,-31.93,37.78,-34.33,N,0.08035120412719543,0.0007739268918203529,0.0007739268918203529,0.08035120412719543
1021514.0,-0.31,0.35,9.82,0.08,0.05,-0.05,-32.38,37.03,-34.78,N,0.04890755729332495,-0.00941788411141046,0.00941788411141046,0.04890755729332495
1021527.0,-0.38,0.44,9.78,0.08,0.03,-0.06,-33.58,36.13,-35.53,N,0.05948595973276588,-0.03813760491156817,0.03813760491156817,0.05948595973276588
1021540.0,-0.43,0.46,9.76,0.08,0.04,-0.04,-32.53,35.68,-34.48,N,0.039203836307240954,-0.008636616702516612,0.008636616702516612,0.039203836307240954
