t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
1094340.0,-0.78,0.1,9.63,-0.0,0.0,0.05,-33.13,35.08,-34.78,N,0.0033971572398444603,-0.007604140610820198,0.007604140610820198,0.0033971572398444603
1094353.0,-0.78,0.13,9.69,0.03,-0.02,0.05,-31.63,36.73,-35.23,N,-0.02701904865463991,-0.048297134448901755,0.048297134448901755,0.02701904865463991
1094366.0,-0.77,0.11,9.65,0.01,-0.03,0.08,-32.68,35.83,-35.53,N,-0.006214813329877574,0.04184741737969234,0.04184741737969234,0.006214813329877574
1094379.0,-0.83,0.17,9.76,-0.04,-0.03,-0.0,-32.68,35.83,-35.53,N,0.04096416469580511,0.02161132704613746,0.02161132704613746,0.04096416469580511
1094392.0,-0.84,0.19,9.71,-0.0,-0.05,0.05,-32.68,35.38,-35.53,N,0.002293091384985434,0.002293091384985434,0.002293091384985434,0.002293091384985434
1094405.0,-0.8,0.2,9.77,0.02,-0.06,0.04,-31.33,35.23,-35.68,N,-0.0182581066412492,-0.007509846089112245,0.007509846089112245,0.0182581066412492
1094417.0,-0.78,0.3,9.77,0.01,-0.05,0.01,-31.33,35.23,-35.68,N,-0.009087762413470778,-0.00845754702811126,0.00845754702811126,0.009087762413470778
1094431.0,-0.79,0.19,9.84,-0.02,-0.01,0.0,-31.03,34.63,-36.28,N,0.02142273800272155,0.04921903211214042,0.04921903211214042,0.02142273800272155
1094444.0,-0.64,0.25,9.88,-0.01,0.05,-0.01,-31.03,35.38,-35.53,N,0.012408758690803136,0.022211696164900815,0.022211696164900815,0.012408758690803136
1094457.0,-0.67,0.26,9.85,0.01,0.03,0.01,-31.48,34.63,-35.83,N,-0.007321257045696336,-0.026798235483668102,0.026798235483668102,0.007321257045696336
1094470.0,-0.68,0.29,9.83,0.01,0.01,-0.03,-30.28,36.13,-35.08,N,-0.009152210668582572,-0.007477621961556349,0.007477621961556349,0.009152210668582572
1094483.0,-0.67,0.23,9.82,0.05,-0.02,0.03,-31.63,35.23,-36.13,N,-0.0476967653301384,-0.018069517597833294,0.018069517597833294,0.0476967653301384
1094496.0,-0.68,0.19,9.75,0.04,-0.01,-0.05,-31.48,35.38,-35.53,N,-0.040263080203538255,0.07352643190585548,0.07352643190585548,0.040263080203538255
1094509.0,-0.71,0.26,9.68,0.01,0.04,-0.0,-31.48,35.08,-36.28,N,-0.007447775694960187,0.021643551173693355,0.021643551173693355,0.007447775694960187
1094522.0,-0.76,0.24,9.68,0.02,0.03,-0.01,-31.33,34.93,-36.88,N,-0.01800744720368123,0.011872837827151572,0.011872837827151572,0.01800744720368123
1094535.0,-0.73,0.14,9.62,0.01,0.02,-0.01,-31.63,36.73,-36.43,N,-0.008236733857139453,0.0008715399764869125,0.0008715399764869125,0.008236733857139453
1094548.0,-0.79,0.14,9.54,-0.02,-0.03,-0.05,-32.38,33.13,-34.78,N,0.01924445255959966,-0.010571384216121358,0.010571384216121358,0.01924445255959966
1094561.0,-0.79,0.14,9.66,-0.01,0.03,0.01,-31.33,35.23,-37.18,N,0.01266179598933084,0.021454962130277446,0.021454962130277446,0.01266179598933084
1094574.0,-0.82,0.11,9.62,0.01,0.01,-0.01,-31.63,35.68,-34.93,N,-0.00845754702811126,-0.029103039576053844,0.029103039576053844,0.00845754702811126
1094587.0,-0.77,0.13,9.63,0.02,-0.04,0.01,-31.48,35.38,-36.28,N,-0.01885847576001256,-0.02784023094437507,0.02784023094437507,0.01885847576001256
1094600.0,-0.83,0.13,9.59,0.01,-0.05,0.01,-30.73,37.03,-36.28,N,-0.009087762413470778,-0.009467318361262331,0.009467318361262331,0.009087762413470778
1094613.0,-0.84,0.11,9.57,0.02,-0.05,-0.01,-31.03,33.88,-35.08,N,-0.019773952571455675,-0.018322554896360994,0.018322554896360994,0.019773952571455675
1094625.0,-0.81,0.04,9.64,0.03,-0.04,-0.05,-31.33,35.68,-35.23,N,-0.03093399319894008,0.0019135354371938812,0.0019135354371938812,0.03093399319894008
