t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-0.0013112091920350383,0.03112461540790998,0.03112461540790998,0.0013112091920350383
1164358.0,-0.1,0.47,9.79,-0.02,0.05,0.0,-33.73,33.28,-34.93,N,0.024815224526153108,0.03867008045992287,0.03867008045992287,0.024815224526153108
1164371.0,-0.12,0.44,9.81,0.01,0.06,-0.01,-33.13,32.83,-35.83,N,-0.0035221669071028995,0.00811951293436314,0.00811951293436314,0.0035221669071028995
1164384.0,-0.1,0.47,9.77,0.02,0.0,0.01,-33.28,31.48,-36.13,N,-0.021312605687220394,-0.05155897591051036,0.05155897591051036,0.021312605687220394
1164397.0,-0.16,0.47,9.73,0.04,0.0,0.0,-32.98,34.03,-33.43,N,-0.04098830154172318,-0.05468030715515166,0.05468030715515166,0.04098830154172318
1164410.0,-0.16,0.54,9.72,0.04,-0.0,0.01,-34.18,33.28,-33.73,N,-0.041151151862064465,0.01962206417113656,0.01962206417113656,0.041151151862064465
1164423.0,-0.17,0.44,9.67,0.0,0.04,-0.04,-32.38,33.58,-33.88,N,0.004370502124005363,-0.0017997601530588948,0.0017997601530588948,0.004370502124005363
1164436.0,-0.17,0.51,9.69,0.01,0.02,0.03,-32.38,33.58,-33.88,N,-0.0092038782231433,-0.015772241353108476,0.015772241353108476,0.0092038782231433
1164449.0,-0.14,0.49,9.67,-0.03,0.04,-0.04,-32.53,33.73,-35.23,N,0.03412832138627147,0.019459213850795274,0.019459213850795274,0.03412832138627147
1164462.0,-0.12,0.41,9.67,0.04,-0.07,0.0,-35.38,33.28,-34.93,N,-0.049791344102404884,0.03557025255369438,0.03557025255369438,0.049791344102404884
1164475.0,-0.16,0.47,9.71,0.01,-0.03,0.01,-35.38,33.28,-34.93,N,-0.015166065125804803,0.006861935425694326,0.006861935425694326,0.015166065125804803
1164488.0,-0.1,0.42,9.69,0.03,0.0,0.02,-34.63,32.23,-33.43,N,-0.03139472909498371,-0.044923884388070906,0.044923884388070906,0.03139472909498371
1164500.0,-0.13,0.5,9.68,-0.02,0.02,0.01,-33.28,32.98,-34.93,N,0.020879641679805376,-0.024153461345240594,0.024153461345240594,0.020879641679805376
1164514.0,-0.15,0.45,9.68,0.04,-0.02,0.02,-32.68,34.33,-34.78,N,-0.043829157199743375,0.0073504863867181825,0.0073504863867181825,0.043829157199743375
1164527.0,-0.14,0.45,9.73,0.04,0.01,-0.0,-32.68,34.33,-34.78,N,-0.03973072403305436,-0.015491765766487375,0.015491765766487375,0.03973072403305436
