t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
12442334.0,4.54,-2.78,-8.59,0.01,0.05,0.03,-110.55,-134.25,-98.85,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442374.0,4.3,-2.82,-8.7,0.02,-0.0,-0.01,-108.45,-133.95,-99.15,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442400.0,4.52,-2.85,-8.8,0.01,0.07,0.05,-111.45,-134.85,-100.5,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442426.0,4.65,-2.67,-8.66,0.01,-0.0,0.0,-110.25,-134.7,-99.6,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442452.0,4.47,-2.74,-8.78,0.01,0.01,-0.0,-109.65,-133.35,-99.75,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442478.0,4.45,-2.73,-8.74,0.0,0.0,0.02,-108.6,-134.4,-99.0,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442503.0,4.42,-2.78,-8.69,-0.03,0.02,-0.03,-110.25,-133.5,-100.2,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442530.0,4.53,-2.82,-8.68,-0.01,-0.02,-0.05,-109.95,-134.4,-99.3,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442556.0,4.69,-2.7,-8.6,-0.04,-0.03,-0.04,-110.55,-133.5,-99.9,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442582.0,4.53,-2.65,-8.52,0.01,-0.01,-0.03,-109.5,-134.7,-100.65,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442608.0,4.43,-2.75,-8.55,-0.02,0.05,-0.04,-110.55,-132.75,-100.65,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442634.0,4.45,-2.58,-8.42,-0.01,-0.01,-0.02,-109.95,-133.65,-100.8,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442660.0,4.51,-2.77,-8.65,0.03,-0.02,0.03,-109.35,-134.1,-99.0,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442686.0,4.42,-2.72,-8.63,0.02,-0.01,-0.05,-110.55,-133.95,-99.15,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442711.0,4.53,-2.92,-8.68,0.01,-0.0,-0.07,-109.35,-135.15,-99.3,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442738.0,4.54,-2.78,-8.67,-0.01,0.01,-0.09,-109.05,-133.95,-98.85,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442764.0,4.33,-2.74,-8.72,0.01,0.0,-0.02,-111.15,-134.85,-98.7,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442790.0,4.41,-2.68,-8.62,0.01,0.01,-0.04,-111.15,-134.1,-99.75,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442816.0,4.28,-2.81,-8.68,0.03,-0.01,-0.02,-109.65,-134.1,-99.75,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442842.0,4.44,-2.79,-8.69,-0.01,-0.01,-0.04,-110.55,-133.5,-99.9,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442868.0,4.4,-2.77,-8.71,-0.01,0.05,0.01,-110.25,-133.5,-99.15,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442894.0,4.47,-2.74,-8.72,0.0,0.02,-0.04,-110.25,-133.2,-99.6,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442919.0,4.63,-2.73,-8.74,-0.01,0.01,-0.02,-110.4,-133.65,-99.0,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442946.0,4.41,-2.82,-8.67,0.0,-0.0,-0.04,-109.5,-133.2,-99.6,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442972.0,4.4,-2.77,-8.72,-0.02,0.0,-0.02,-110.7,-134.85,-97.95,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12442998.0,4.44,-2.63,-8.64,0.0,0.05,-0.03,-110.7,-133.35,-98.25,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12443024.0,4.45,-2.68,-8.43,0.03,0.01,0.01,-110.55,-134.25,-100.95,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
12443050.0,4.49,-2.76,-8.48,-0.01,0.02,-0.01,-110.25,-134.25,-100.65,-0.14,-0.48,0.83,-0.24,-2.168321554053195,-0.4464553104047928,-2.8377952286868244
