t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
174786.0,-2.17,-3.41,-9.38,0.0,0.02,0.01,309.3,54.0,75.3,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
174837.0,-2.22,-3.46,-9.5,0.04,0.02,0.01,309.0,53.4,75.45,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
174864.0,-2.02,-3.49,-9.39,-0.01,-0.01,0.01,310.2,53.7,72.6,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
174890.0,-2.1,-3.46,-9.29,-0.0,-0.01,0.06,310.5,54.15,73.65,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
174916.0,-2.07,-3.33,-9.26,-0.0,-0.02,0.01,309.9,53.55,74.25,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
174942.0,-2.0,-3.5,-9.32,-0.02,-0.0,-0.05,309.6,54.75,73.95,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
174968.0,-2.06,-3.49,-9.46,0.0,0.03,0.0,310.5,53.7,74.4,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
174994.0,-2.11,-3.51,-9.41,-0.03,0.02,-0.06,310.8,53.1,75.15,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175020.0,-2.09,-3.42,-9.43,0.02,-0.0,0.01,310.5,55.65,74.1,0.17,-0.98,-0.03,0.1,0.09456582945664158,0.1847328235817806,-2.789205280765169
175045.0,-2.01,-3.56,-9.34,-0.0,0.04,-0.03,310.65,54.75,74.25,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175072.0,-2.23,-3.56,-9.42,-0.01,0.01,0.06,309.0,52.65,73.65,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175098.0,-2.23,-3.41,-9.35,-0.01,0.04,0.0,309.75,53.7,74.1,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175124.0,-1.96,-3.32,-9.38,0.0,0.01,0.02,310.35,53.1,74.4,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175150.0,-2.0,-3.45,-9.28,-0.01,0.01,-0.01,310.2,52.65,75.15,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175176.0,-2.04,-3.41,-9.36,0.01,0.01,-0.02,309.75,54.45,74.4,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175202.0,-2.06,-3.53,-9.4,0.02,-0.0,-0.04,309.75,53.7,73.65,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175228.0,-2.17,-3.52,-9.38,-0.02,-0.01,-0.0,309.6,54.3,73.95,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175253.0,-2.17,-3.55,-9.34,-0.04,-0.01,0.0,309.45,53.4,74.4,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175280.0,-2.15,-3.46,-9.38,-0.03,0.02,-0.04,310.2,54.15,74.85,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175306.0,-2.0,-3.46,-9.4,-0.0,0.02,-0.04,309.75,53.7,74.85,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175332.0,-2.15,-3.38,-9.33,0.02,-0.02,-0.02,309.9,54.0,72.9,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
175358.0,-2.03,-3.39,-9.38,0.04,0.01,0.03,308.4,53.1,75.15,0.17,-0.98,-0.03,0.09,0.09094500496505373,0.165435914471144,-2.7904435332048094
