t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
58057109.0,-4.63,0.93,-9.01,0.02,0.05,-0.05,978.6,130.95,339.45,0.11,0.95,0.18,-0.21,0.3392926144540446,0.4246723957306571,2.9909279417901096
58057187.0,-4.53,0.87,-9.07,0.02,-0.01,-0.05,978.45,131.1,340.8,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057212.0,-4.49,0.91,-9.07,-0.02,-0.04,0.02,978.6,132.0,340.5,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057239.0,-4.59,0.91,-9.04,-0.01,0.01,-0.06,977.7,131.4,340.35,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057265.0,-4.49,0.96,-9.12,0.01,-0.01,0.05,978.75,129.6,339.3,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057291.0,-4.6,0.82,-9.05,0.01,0.04,0.01,978.0,130.8,340.35,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057317.0,-4.56,0.93,-9.12,0.01,0.01,-0.03,979.35,131.25,340.5,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057343.0,-4.61,0.91,-9.01,0.04,0.04,0.01,978.0,130.35,339.3,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057369.0,-4.56,0.99,-8.88,-0.01,0.03,-0.0,977.55,131.25,338.85,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057395.0,-4.52,0.89,-9.01,-0.02,-0.01,0.04,976.65,131.1,339.3,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057420.0,-4.53,0.95,-9.04,-0.02,0.03,-0.03,977.7,131.1,338.55,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057447.0,-4.53,0.87,-9.08,-0.01,0.01,-0.03,977.85,132.0,339.15,0.11,0.95,0.17,-0.21,0.31775286010215087,0.42267960602899934,2.985647991798104
58057473.0,-4.61,0.95,-9.12,0.04,0.05,0.07,977.85,130.95,340.95,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057499.0,-4.56,1.03,-9.14,0.01,0.07,0.07,977.1,131.7,339.9,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057525.0,-4.61,0.97,-8.99,0.0,-0.0,0.06,978.9,130.5,340.5,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057551.0,-4.68,0.81,-9.04,0.02,0.01,0.0,978.0,130.35,340.05,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057577.0,-4.54,0.84,-8.92,-0.0,0.01,0.01,977.7,130.8,339.75,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057603.0,-4.6,0.95,-9.17,0.04,0.03,-0.02,978.0,130.05,339.75,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057628.0,-4.52,0.91,-9.04,-0.0,0.0,-0.0,978.0,131.1,341.1,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057655.0,-4.48,0.95,-8.93,0.0,0.08,0.03,977.55,131.25,339.15,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057681.0,-4.56,0.88,-9.06,-0.02,0.01,-0.07,975.9,130.8,340.35,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057707.0,-4.42,1.0,-9.15,0.05,-0.02,-0.01,976.95,130.35,339.75,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057733.0,-4.56,0.89,-8.95,0.01,-0.01,-0.01,977.85,131.7,338.85,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
58057759.0,-4.54,0.99,-9.08,0.01,0.05,0.08,977.7,131.85,340.05,0.11,0.96,0.17,-0.21,0.3147283451200538,0.42648223936225904,2.986524279894214
