t,ax,ay,az,gx,gy,gz,mx,my,mz,w,nx,ny,nz,yaw,pitch,roll
58740363.0,-1.98,2.35,-9.81,0.02,0.05,-0.0,-19.95,-109.65,48.6,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740402.0,-1.91,2.31,-9.69,-0.01,0.01,-0.01,-20.7,-109.35,48.9,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740428.0,-2.11,2.44,-9.87,0.03,0.03,-0.0,-19.05,-110.25,48.75,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740454.0,-2.0,2.44,-9.84,-0.01,-0.04,-0.05,-19.8,-108.75,50.25,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740480.0,-1.99,2.41,-9.84,0.0,-0.01,-0.03,-19.05,-111.3,48.45,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740506.0,-2.06,2.32,-9.76,-0.01,0.02,0.01,-19.2,-109.65,49.35,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740532.0,-2.0,2.44,-9.75,0.03,-0.0,-0.02,-21.6,-111.3,49.05,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740558.0,-1.98,2.4,-9.76,0.0,0.07,0.02,-19.35,-110.25,48.75,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740583.0,-2.04,2.4,-9.78,-0.0,-0.01,-0.02,-21.0,-109.65,48.6,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740610.0,-2.0,2.39,-9.82,-0.01,0.03,-0.04,-18.75,-109.05,48.75,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740636.0,-2.03,2.35,-9.93,-0.0,0.02,-0.02,-19.95,-111.15,48.6,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740662.0,-1.96,2.41,-9.76,0.02,-0.01,-0.0,-19.35,-111.3,47.7,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740688.0,-1.92,2.44,-9.75,0.0,0.02,0.02,-19.65,-112.35,49.35,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740714.0,-2.0,2.49,-9.87,0.02,0.03,0.05,-19.2,-110.85,49.65,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740740.0,-2.12,2.48,-9.83,-0.02,0.04,-0.01,-19.65,-111.15,48.9,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740766.0,-1.93,2.48,-9.85,-0.01,-0.01,0.02,-20.1,-110.25,49.5,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
58740791.0,-2.01,2.49,-9.87,0.0,-0.04,0.01,-19.2,-110.85,48.6,0.0,0.6,-0.79,-0.14,-1.8615755555799742,0.16721084248270432,2.9161496496085473
